experiment,bend_deg,jacobian_contact,plant_contact,controller,solver,frame,stage,stage_1based,applied_stage,progress,lin_nl_error_m,tracking_linear_error_m,tracking_nonlinear_error_m,applied_linear_error_m,applied_nonlinear_error_m,applied_tracking_error_m,B_drift_relative,B_change_from_stage0_relative
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,4,2,3,True,0.017777777777778503,,0.0009230005222435837,,5.9461425763568616e-08,,0.0009230205456237494,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,4,3,4,True,0.017777777777778503,,0.0012899895788034985,,1.0593496275756388e-07,,0.0012900167225110676,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,4,4,5,True,0.017777777777778503,,0.0016621048852778042,,1.6578040542353601e-07,,0.0016621398284141808,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,4,5,6,True,0.017777777777778503,,0.002036538379896115,,2.3902675601391276e-07,,0.002036581833128468,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,4,6,7,True,0.017777777777778503,,0.0024122106401470392,,3.257003186359973e-07,,0.0024122633241336453,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,4,7,8,True,0.017777777777778503,,0.002387045500097556,,4.25827771388891e-07,,0.0023871154027926074,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,4,8,9,True,0.017777777777778503,,0.0027633494441784354,,5.394374870762023e-07,,0.0027634298146129456,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,4,9,10,True,0.017777777777778503,,0.0031399246195695824,,6.665568986612335e-07,,0.0031400161126428397,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,4,10,11,False,0.017777777777778503,,0.0035161579529422683,,,,,0.0,0.0
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,4,11,12,False,0.017777777777778503,,0.003891102258379271,,,,,0.0,0.0
