node_index,s_m,insertion_m,position_error_m,position_error_mm,tangent_error_rad,tangent_error_deg,feasible,solver_success,termination_reason,function_evaluations,objective_value,jacobian_condition,jacobian_effective_rank,minimum_joint_margin_rad,minimum_state_margin,minimum_clearance_m,contact_active,source_magnet_lumen_distance_m,source_magnet_lumen_exclusion_radius_m,source_magnet_lumen_margin_m,source_magnet_lumen_segment_index,source_magnet_lumen_constraint_satisfied,delta_q_norm_rad,delta_insertion_m,attempt_count,chain_rule_relative_error,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,magnet_pose_x,magnet_pose_y,magnet_pose_z,magnet_pose_rx,magnet_pose_ry,magnet_pose_rz,tip_x,tip_y,tip_z,tip_tangent_x,tip_tangent_y,tip_tangent_z,desired_x,desired_y,desired_z,desired_tangent_x,desired_tangent_y,desired_tangent_z
0,0.0,0.025,0.0,0.0,0.03364865104192351,1.927925691010697,1,1,fixed_initial_state_feasible_and_committed,1,3.871188637136372e-07,16438813.182236802,5,4.226702006275165,0.025,nan,0,0.24002036183673248,0.24002036183673248,0.0,33,1,0.0,0.0,1,0.009482841956847596,-0.8563330794749153,-1.9202845676220412,-1.737470984736671,-1.083041076516786,1.5624128895518443,-2.056483300904421,0.24557491131803735,-0.6700278979849775,0.01343264512755138,-3.0779329517530916,0.5753727003166583,0.045033578037756164,0.5005820547675611,-0.6695089478050362,0.013441556889184119,-0.9994339375540411,0.03363773107760265,0.0005545387056087045,0.5005820547675611,-0.6695089478050362,0.013441556889184119,-1.0,0.0,0.0
1,0.00025,0.02521219473007024,3.7727042335547814e-05,0.037727042335547814,0.03325825875215468,1.9055578604524948,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,22,0.00942894076546589,15830673.513209084,5,4.226677454014955,0.024787805269929762,nan,0,0.24006933132634972,0.24002036183673248,4.8969489617245454e-05,33,1,0.00023584525857689407,0.00021219473007023926,1,nan,-0.85644950087814,-1.9203612603934328,-1.737370008134525,-1.0829339837204996,1.5622949094391054,-2.0565078531646312,0.24552758881767553,-0.6701804907243025,0.013432645141620791,-3.078076521113107,0.5755442018859207,0.04498838198115979,0.5003697698104673,-0.6695098986000844,0.013441592255131482,-0.9994469950889769,0.03324755567637785,0.0005514065295011682,0.5003320547675612,-0.6695089478050362,0.013441556889184119,-1.0,0.0,0.0
59,0.014750000000000011,0.039609307268372015,3.524755385118496e-05,0.035247553851184964,0.812442717094954,46.549538785682,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,25,0.008255222281231002,3595539.4766635196,5,4.22658528328394,0.010390692731627987,nan,0,0.24056363458277022,0.24002036183673248,0.0005432727460377429,33,1,0.0016472640247813149,0.00019826580749170847,1,nan,-0.8569867580669487,-1.9209924981087403,-1.7366666807731557,-1.0825739153163298,1.5608650334022858,-2.0566000238956454,0.24504677961736715,-0.671202673927343,0.01343264513971143,-3.0792967366920716,0.5764547844637019,0.04586385487908797,0.4859804161552306,-0.6690548722818354,0.01344148033933225,-0.9993522394573978,0.03598615297632363,0.0003135051013441252,0.4859451898677114,-0.6690536504552401,0.013441556889184119,-0.6611568929856048,0.7502476676788951,0.0
60,0.015000000000000012,0.039762814918264514,2.7286053765061497e-05,0.027286053765061498,1.0458080805585113,59.9203891966803,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,29,0.004976653586011651,3502581.224562747,5,4.226820485141768,0.01023718508173549,nan,0,0.24019316693137793,0.24002036183673248,0.00017280509464545624,33,1,0.0021859843021663585,0.0001535076498924981,1,nan,-0.8558915694860367,-1.92028262033604,-1.737635458083453,-1.0836644792023054,1.5618094823999122,-2.0563648220378186,0.24539959197872513,-0.6697765301712401,0.013432645127631482,-3.078000088222572,0.5748527767741083,0.0465888882982451,0.48583377449773874,-0.6688468342897488,0.013441471836262242,-0.9990564640719964,0.043429075303911775,0.0003114710372321132,0.48580651481865506,-0.6688456378816557,0.013441556889184119,-0.4631495038445839,0.8862801685068418,0.0
61,0.015250000000000012,0.03986727526665055,1.8563711269178478e-05,0.018563711269178478,1.1947589638111067,68.45464616179987,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,20,0.0023387834253267834,3488719.4227384324,5,4.227067994247367,0.010132724733349453,nan,0,0.24002038697141556,0.24002036183673248,2.5134683084848675e-08,33,1,0.0024620131957942405,0.00010446034838603596,1,nan,-0.8548595042198512,-1.9194124041297815,-1.7388301940445356,-1.0849895724277652,1.5628067522664706,-2.0561173129322188,0.24556255007728822,-0.6681597378754994,0.013443112891430575,-3.0764520714156887,0.5733267860726723,0.047629819299897166,0.485738584078791,-0.668613653470497,0.013441435051518836,-0.9986572700427201,0.05180310379299619,0.00030891460596059006,0.4857200506096293,-0.6686126013048725,0.013441556889184119,-0.3185610641169444,0.9479023411874665,0.0
62,0.015500000000000012,0.039948460299920455,1.44317693854362e-05,0.014431769385436199,1.3109212433639514,75.1102545187967,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,32,0.001438841358891731,3452058.7617056547,5,4.227314199417409,0.010051539700079548,nan,0,0.24002036200653148,0.24002036183673248,1.6979900818725469e-10,36,1,0.0025641455428085384,8.118503326990517e-05,1,nan,-0.8539265194278972,-1.9184644819614352,-1.7401371867860773,-1.086439097310015,1.5637741487255223,-2.055871107762178,0.2455616937421453,-0.6664804178829269,0.013463258692700819,-3.074796935824312,0.571938878515719,0.048895033476122764,0.48566869610633434,-0.6683730477768814,0.013441418073539216,-0.9981715267113306,0.06044426204061002,0.0003073257842333598,0.4856542983455968,-0.6683720673771895,0.013441556889184119,-0.19807533953917053,0.9801867984554997,0.0
63,0.01575000000000001,0.04000081460279454,9.358459580922573e-06,0.009358459580922573,1.3748506104325615,78.77313743877069,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,25,0.000637689049713436,3458894.8936734907,5,4.227568143726497,0.009999185397205464,nan,0,0.2400203694849071,0.24002036183673248,7.648174621399662e-09,39,1,0.0026503087545300843,5.2354302874084435e-05,1,nan,-0.852959129880871,-1.917487113387944,-1.7414873576895844,-1.0879350751986594,1.5647779642494544,-2.0556171634530895,0.2455616890538919,-0.6647439680959658,0.013484104986685008,-3.073083933597301,0.5705026031030345,0.050200304072434726,0.4856298432599241,-0.6681251589820483,0.01344141623872768,-0.997590662484292,0.06937417472508561,0.0003066029431284961,0.4856205200444135,-0.6681243598351785,0.013441556889184119,-0.12617854273796808,0.9920075480320313,0.0
64,0.01600000000000001,0.04004160028935485,7.309266125922732e-06,0.0073092661259227315,1.421117162215567,81.42401558856037,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,28,0.0004150690604012975,3411745.335916194,5,4.227829070364823,0.009958399710645154,nan,0,0.24002036183595174,0.24002036183673248,-7.807365864920257e-13,43,1,0.002715119142291752,4.078568656031012e-05,1,nan,-0.8519652064426392,-1.9164894342752856,-1.7428684039507292,-1.0894680343694922,1.5658091234216907,-2.0553562368147635,0.24556170148770048,-0.6629642730562084,0.01350564483589195,-3.0713256682546772,0.5690318419621022,0.05153923909005159,0.4856046064142015,-0.6678764551619271,0.013441410196584977,-0.9969137579574676,0.07850391860865788,0.00030652602656093547,0.4855973365792542,-0.6678757112853111,0.013441556889184119,-0.07103451513700024,0.9974738581332602,0.0
65,0.01625000000000001,0.04007150127575201,5.373916508429997e-06,0.005373916508429997,1.4464453073466448,82.87521140746595,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,31,0.0002543340231743391,3404532.652702604,5,4.2280880968465215,0.009928498724247996,nan,0,0.24002036182767403,0.24002036183673248,-9.05844843579473e-12,45,1,0.0027273981146334965,2.990098639715777e-05,1,nan,-0.8509626098451826,-1.9154887265405476,-1.7442567544062706,-1.091004300766939,1.566847082196673,-2.0550972103330643,0.2455619390429127,-0.6611761054744661,0.01352732045799837,-3.069559830044965,0.5675476698915445,0.05288307864559934,0.4855922580971486,-0.6676266060012301,0.013441417487082134,-0.9961493802589264,0.08767164912966459,0.0003068365070603213,0.4855869289430761,-0.667625928017038,0.013441556889184119,-0.036558521305649225,0.9993315138230878,0.0
66,0.01650000000000001,0.04009670784392888,4.545586316493202e-06,0.004545586316493202,1.4588203056242743,83.5842465802558,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,31,0.00020014207260404075,3376708.5794451907,5,4.228352117606098,0.009903292156071122,nan,0,0.2400203618366594,0.24002036183673248,-7.308043059595093e-14,45,1,0.002727713431756435,2.5206568176873445e-05,1,nan,-0.8499508826030835,-1.9144949906131141,-1.7456386419133008,-1.092538539664041,1.5678940341645076,-2.054833189573488,0.24557110628018075,-0.6593859098866176,0.013548385624454207,-3.067788740138169,0.5660609037767462,0.054218767944754664,0.4855865537910696,-0.6673766618673798,0.01344141102198563,-0.9952996202098818,0.0968430276213747,0.00030661244384542005,0.4855820547675761,-0.6673760295183256,0.013441556889184119,-0.014980416574903824,0.9998877872637721,0.0
67,0.01675000000000001,0.04011873093596362,3.983154527755315e-06,0.003983154527755314,1.4598007573964973,83.64042232882029,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,34,0.00016859555737523167,3368831.392857927,5,4.228616748292144,0.009881269064036385,nan,0,0.24002036181971295,0.24002036183673248,-1.701952467847434e-11,45,1,0.0027272985965364634,2.2023092034736957e-05,1,nan,-0.8489258927093203,-1.9135078257396387,-1.7470143328808279,-1.0940656386152163,1.5689516128235754,-2.054568558887442,0.2455936486877444,-0.6575945018466582,0.013568632325773489,-3.0660168561162062,0.5645589695945191,0.05553842389610757,0.48558598711461737,-0.6671266468598845,0.013441411781849053,-0.9943641733183716,0.10601790790922551,0.0003066323898656051,0.4855820547675761,-0.6671260295183257,0.013441556889184119,-0.004778028956237044,0.9999885851544974,0.0
68,0.01700000000000001,0.04014192850471549,4.1991896827735715e-06,0.004199189682773571,1.4553417261771295,83.38493865923344,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,34,0.00017981283785265973,3342936.359197171,5,4.228884041027749,0.00985807149528451,nan,0,0.2400203618250139,0.24002036183673248,-1.1718570558372221e-11,45,1,0.002727455273841351,2.3197568751874564e-05,1,nan,-0.8478865469906562,-1.912527514503889,-1.748383583317596,-1.0955866677127133,1.5700183559737448,-2.0543012661518376,0.2456296069185647,-0.6558014642854543,0.013588164363992294,-3.0642443706493987,0.5630434403944199,0.05684498388663509,0.48558619796802743,-0.6668766974363806,0.01344141208074578,-0.9933424704229471,0.11519827440387102,0.0003066405172680454,0.4855820547675761,-0.6668760295183256,0.013441556889184119,0.0,1.0,0.0
69,0.017250000000000012,0.04016697084515168,4.534460643608897e-06,0.004534460643608898,1.446085956183121,82.85462210243293,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,31,0.0001986188229875947,3332030.7986935047,5,4.22915329698253,0.009833029154848322,nan,0,0.2400203618366512,0.24002036183673248,-8.126832540256146e-14,45,1,0.0027286303738151556,2.504234043618908e-05,1,nan,-0.8468323107073663,-1.911553556663504,-1.7497471131055324,-1.097101686893649,1.5710946553422647,-2.054032010197056,0.24567903960620768,-0.6540062782275434,0.013606971193439565,-3.062471147446673,0.5615124117896924,0.05813851390573493,0.4855865267606954,-0.6666267654992544,0.01344141217242025,-0.9922336876960993,0.12438735855670673,0.0003066468406828,0.4855820547675761,-0.6666260295183256,0.013441556889184119,0.0,1.0,0.0
70,0.017500000000000012,0.04019396370422974,4.8903973622018e-06,0.0048903973622018,1.4368100933444499,82.32315431043483,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,28,0.00022008437225410225,3301622.069711741,5,4.229424464005065,0.00980603629577026,nan,0,0.24002036183663453,0.24002036183673248,-9.794942634755444e-14,45,1,0.0027300133990460916,2.6992859078062148e-05,1,nan,-0.8457634401893299,-1.9105859951712811,-1.7511048699226073,-1.0986105603198324,1.5721812001359778,-2.0537608431745213,0.24574200651743222,-0.6522088564705628,0.013625003687794957,-3.0606966793444146,0.5599662050839161,0.05941827101873406,0.4855868754555657,-0.6663768394974238,0.013441412364004644,-0.9910372177046061,0.133585699395183,0.00030666172429626425,0.4855820547675761,-0.6663760295183256,0.013441556889184119,0.0,1.0,0.0
71,0.017750000000000012,0.04022290792609043,5.274155248949176e-06,0.005274155248949176,1.4275139018915963,81.79052177464074,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,28,0.00024347575057582162,3288422.7380293747,5,4.229699622824555,0.009777092073909574,nan,0,0.24002059536351186,0.24002036183673248,2.3352677938626165e-07,46,1,0.002731773555479256,2.894422186068557e-05,1,nan,-0.8446822674945633,-1.9096277016838086,-1.7524530457828797,-1.1001200610114854,1.573278215673748,-2.053485684355031,0.2458166128704988,-0.6504087925654514,0.013642443834949891,-3.058915874705882,0.5584109643117747,0.06069122685403017,0.4855872480995821,-0.6661269360945214,0.01344140153196094,-0.9897525754076806,0.14279266671327256,0.000306278918232207,0.4855820547675761,-0.6661260295183257,0.013441556889184119,0.0,1.0,0.0
72,0.018000000000000013,0.04025387749456448,5.616273347993148e-06,0.005616273347993148,1.4181951606979788,81.25659723387174,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,29,0.00026888432271628777,3253703.4492815486,5,4.229974165910133,0.009746122505435523,nan,0,0.24002036181699668,0.24002036183673248,-1.9735796330522248e-11,46,1,0.0027340372064142866,3.09695684740513e-05,1,nan,-0.8435861708558196,-1.9086717944166678,-1.7538008369102698,-1.101618404870263,1.5743840292896765,-2.053211141269453,0.24590347645619107,-0.6486064570701066,0.013659194668937447,-3.057137941988325,0.556836911868537,0.061947568222867615,0.4855875833980627,-0.6658770074736554,0.013441414149438254,-0.9883789723231418,0.15200958182502275,0.0003067618491941956,0.4855820547675761,-0.6658760295183256,0.013441556889184119,0.0,1.0,0.0
73,0.018250000000000013,0.04028682070290644,5.977672122480471e-06,0.005977672122480471,1.408856061062839,80.72150624032606,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,30,0.0002955479455671604,3238169.5367450137,5,4.23024556499904,0.00971317929709356,nan,0,0.24002041567205967,0.24002036183673248,5.383532719616113e-08,46,1,0.0027350333968376027,3.2943208341962293e-05,1,nan,-0.8424763569570339,-1.9077246108543697,-1.7551398656203163,-1.1031134931211743,1.575501893262345,-2.052939742180546,0.24600372834283044,-0.6468026552078923,0.013675036630325987,-3.055356980395839,0.5552411168538764,0.06319125013312243,0.48558793334541067,-0.6656271037266842,0.013441412102965613,-0.9869162579826851,0.16123338879303983,0.0003067046894673964,0.4855820547675761,-0.6656260295183256,0.013441556889184119,0.0,1.0,0.0
74,0.018500000000000013,0.040321755191757534,6.345498232656492e-06,0.006345498232656492,1.3994961625879192,80.18522356104224,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,30,0.00032415689827221646,3199293.327343684,5,4.230524020452502,0.009678244808242469,nan,0,0.24002036182337705,0.24002036183673248,-1.335542787472832e-11,46,1,0.0027359992783890035,3.4934488851091905e-05,1,nan,-0.841351398691047,-1.906782565051526,-1.7564749866464995,-1.1045980557431916,1.576628258604349,-2.0526612867270844,0.24611785361214852,-0.6449968011483032,0.013690073182936358,-3.0535772524373987,0.5536380955706286,0.06441885558591096,0.48558829003330545,-0.6653771984339674,0.013441413902025292,-0.9853639213460794,0.17046362774766652,0.00030679729880884424,0.4855820547675761,-0.6653760295183256,0.013441556889184119,0.0,1.0,0.0
