k,i_ref,i_ref_mpc,ref_advanced,dist_to_ref_m,dist_to_ref_mm,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,vessel_tip_alignment_deg,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,jac_pred_mm,jac_mpc_pred_mm,jac_actual_mm,jac_gain_actual_over_jac,jac_gain_actual_over_mpc,jac_angle_actual_deg,jac_cos_actual,jac_actual_along_pred_mm,jac_dp_pred_x_mm,jac_dp_pred_y_mm,jac_dp_pred_z_mm,mpc_dp_pred_x_mm,mpc_dp_pred_y_mm,mpc_dp_pred_z_mm,actual_dp_x_mm,actual_dp_y_mm,actual_dp_z_mm,jac_dir_pred_x,jac_dir_pred_y,jac_dir_pred_z,mpc_dir_pred_x,mpc_dir_pred_y,mpc_dir_pred_z,actual_dir_x,actual_dir_y,actual_dir_z,frame_path
141,36,36,0,0.005328344790641774,5.328344790641774,-0.008916254442023505,0.004672924118124185,9.568578434143217e-07,0.0,0.0,-2.548720780010319e-05,0.009995730762351357,0.6673632735144632,-0.6617355252669365,-0.1,-0.0005333921396257084,-0.9999996354591012,0.0005856159973433705,-0.00031879208566042844,0.03016619784744757,0.7693107910082021,-0.7030493137273075,-0.10000570228792602,-0.8608073185485069,0.5089308902078793,0.0003306441365464345,solved,0,1.7358778898598851e-06,0.001735877889859885,7.522196849985976e-06,0.007522196849985976,0.596426307242682,31,0.5121228520360313,0.002872371239455574,2.8723712394555743,0.001127628760544426,1.127628760544426,0.10021750643973931,0.10021757201215119,0.09940719930901477,0.9919145151430027,0.9919138661327959,4.295015217478257,0.9971916529654631,0.09912802939562369,-0.09194534674109943,0.03919318703642269,0.007314089115274433,-0.09194510855670135,0.039194236048478714,0.007312360294955966,-0.09078813793805818,0.04048833459036061,-6.804507221569445e-06,-0.9174579373154338,0.3910812434750561,0.07298215027603373,-0.9174549603492008,0.3910914549369295,0.07296485185321948,-0.913295400827423,0.4072978101364627,-6.845084932346923e-05,mpc_1np1s_wadv_30/frames/frame_000141.png
142,36,36,0,0.005239721133965015,5.239721133965015,-0.006617982630890949,0.009709008045096779,8.276979485846796e-07,0.0,0.0,0.00021187475397979667,0.009994675756067129,0.6672970936881544,-0.6616384351864855,-0.1,-0.0005333918019054355,-0.9999996348381539,0.0005866753707267555,-0.00031879265072189134,0.03026614460500824,0.7692202883520657,-0.7030047811960326,-0.10000581375311339,-0.8602752059031216,0.5098298334730372,0.00033318042711312143,solved,0,2.6816109067211527e-06,0.0026816109067211527,8.137532638163129e-06,0.00813753263816313,0.631556195984265,31,0.6109980311712702,0.0028621032195449386,2.8621032195449385,0.0011378967804550615,1.1378967804550615,0.09905085837659428,0.09905082210039472,0.10086570048328658,1.0183223258883052,1.0183226988368896,4.548353669330302,0.9968507646868894,0.10054805065744299,-0.08787593686767461,0.045072870047078266,0.007571568561916,-0.08787600535875573,0.04507266343212191,0.007571529045485859,-0.09050265613641528,0.04453253127489898,-0.00011146518737181754,-0.887179962979904,0.45504774805393294,0.07644122106573446,-0.8871809793732701,0.45504582876089317,0.07644085011037668,-0.8972589859861385,0.44150321726341457,-0.0011050851462662205,mpc_1np1s_wadv_30/frames/frame_000142.png
143,36,36,0,0.005152035019169686,5.152035019169686,-0.00798044448907231,0.007476490434567224,8.754013718795273e-07,0.0,0.0,0.00010761319095119225,0.009995500484412218,0.6672172892432636,-0.6615636702821398,-0.1,-0.0005333916303738864,-0.9999996345223391,0.0005872134364849455,-0.00031879293772181435,0.030366099609852364,0.7691317538952425,-0.7029563510798286,-0.10000583036896425,-0.8598099062563337,0.5106141538006654,0.0003332295078788559,solved,0,1.417475020571961e-06,0.0014174750205719609,6.306223695084728e-06,0.006306223695084728,0.691309099846942,31,0.7116466690058013,0.00285550188008786,2.85550188008786,0.00114449811991214,1.14449811991214,0.10088717285585025,0.10088631751772506,0.10091494674529283,1.0002752965382653,1.0002837771094453,3.5891946091334272,0.9980385523222144,0.10071700735734541,-0.08767514034489912,0.049532925429245735,0.006146601562589851,-0.08766570199814083,0.04955016106378274,0.006128237431235473,-0.08853445682321937,0.04843011620403459,-1.6615850861878556e-05,-0.8690415031271739,0.4909734709289499,0.060925501117691606,-0.8689553167875173,0.4911484756600131,0.060743989690760405,-0.8773175795918363,0.4799102389289385,-0.00016465203022716357,mpc_1np1s_wadv_30/frames/frame_000143.png
144,36,36,0,0.005067093452156654,5.067093452156654,-0.006257454978728361,0.011509340019888039,1.1325796352921524e-06,0.0,0.0,0.00024600475722829935,0.009997566966348053,0.6671547146934763,-0.6614485768819409,-0.1,-0.0005333912382505866,-0.9999996337992961,0.0005884434598210963,-0.0003187935938059659,0.030466075279515843,0.7690453061851953,-0.7029041712786086,-0.10000588298250018,-0.8590981001708545,0.5118108489598362,0.0003304085956446354,solved,0,1.6190934392075655e-05,0.016190934392075654,0.00011489504419034999,0.11489504419034999,0.7433044135725805,31,0.8125358137025693,0.0028532213026553374,2.8532213026553372,0.0011467786973446627,1.1467786973446628,0.15535289693563573,0.15535275257237138,0.10097495231957293,0.6499714798457081,0.6499720838388979,47.66347225640783,0.6734839132707492,0.0680050060305133,-0.08148168893550918,0.06759035382669207,0.11369609062801479,-0.08148168225041719,0.06759034710290823,0.11369590215994096,-0.08644771004717722,0.052179801219964794,-5.261353593077889e-05,-0.5244941712884045,0.4350762371344477,0.7318569068919277,-0.5244946156487237,0.4350765981531041,0.7318563738159419,-0.8561302388495433,0.516759850054916,-0.0005210553183948403,mpc_1np1s_wadv_30/frames/frame_000144.png
145,37,37,1,0.005833071651366073,5.8330716513660725,-0.002248614862313411,0.019596622337074068,7.647756211083153e-07,0.0,0.0,0.0006524088016788981,0.009992372803811878,0.6671322285448532,-0.6612526106585702,-0.1,-0.000533390198329016,-0.9999996318744471,0.0005917055026317913,-0.00031879533374996253,0.03056599900755396,0.7689633014022884,-0.702844202983635,-0.100005871379288,-0.8578685934552557,0.5138690147586187,0.00033471496500740104,solved,0,1.0660003946262685e-05,0.010660003946262686,8.089239789643867e-05,0.08089239789643866,0.8228868722247532,31,0.9134902840652714,0.0028552487900967826,2.8552487900967827,0.0011447512099032175,1.1447512099032175,0.12972946586034131,0.1297522317148833,0.10159222881832516,0.7831083566449973,0.7829709553016649,38.554694374903484,0.7820135498072631,0.07944649949105019,-0.07558967236615437,0.0684846408840539,0.08016102361477846,-0.07559070436558013,0.06848271101933534,0.08019853701876634,-0.08200478290687485,0.05996829497356693,1.1603212182742517e-05,-0.5826715763057987,0.5279035139000743,0.6179091471869225,-0.5825772964867583,0.5277960164093269,0.6180898467703745,-0.8071954307993572,0.5902842734241683,0.00011421358028764435,mpc_1np1s_wadv_30/frames/frame_000145.png
146,37,37,0,0.0057506879223158235,5.750687922315824,-0.009404796242128173,0.004097218983353123,7.964289762996145e-07,0.0,0.0,-2.802560944532821e-05,0.009994445640125006,0.6670381805824319,-0.6612116384687367,-0.1,-0.0005333902430011783,-0.9999996319573519,0.0005915653746361437,-0.00031879525900703254,0.030665943463955212,0.7688731212006119,-0.7027989168870273,-0.10000588757477047,-0.857618854974809,0.514285706849217,0.00033364996419892566,solved,0,1.4045506934689505e-06,0.0014045506934689505,2.0427910513454414e-05,0.020427910513454415,0.9599735947580397,32,0.01448577873356862,0.002866246036930255,2.866246036930255,0.001133753963069745,1.133753963069745,0.10242458891947712,0.10242223256435307,0.10091233612730656,0.9852354516808514,0.9852581182889387,11.507213664730731,0.9798995959926349,0.09888395740182065,-0.08911304705495729,0.04620062846741257,0.02037555371323567,-0.08911352293328179,0.046199857577144954,0.020363371865617097,-0.09018020167650409,0.045286096607699555,-1.6195482469005817e-05,-0.8700356818128415,0.4510696987393721,0.19893224789268393,-0.8700603443426284,0.45107254958650755,0.1988178870522331,-0.893648934682641,0.44876670529724544,-0.00016049061086619094,mpc_1np1s_wadv_30/frames/frame_000146.png
147,37,37,0,0.005660633894102162,5.660633894102162,-0.016167427490493685,-0.011700970638684692,1.269868555462862e-06,0.0,0.0,-0.000778830214103537,0.00999766440126217,0.6668765063075269,-0.6613286481751235,-0.1,-0.0005333914844340332,-0.9999996342534146,0.0005876712249943642,-0.0003187931819024296,0.030765920107967835,0.7687746123320914,-0.702768498625387,-0.10000589395284722,-0.8583577444808199,0.5130515278567387,0.0003350427817435007,solved,0,2.450729797317989e-06,0.002450729797317989,1.8172727662619428e-05,0.018172727662619428,0.987830844496923,32,0.11522984321897524,0.0028604535566805187,2.8604535566805187,0.0011395464433194813,1.1395464433194813,0.10687331169911973,0.10686844828620452,0.10309834071934253,0.9646780761280714,0.9647219770912622,9.718117105701612,0.9856501429404533,0.10161889426694351,-0.10094958448129018,0.03011458274454049,0.01800550062381722,-0.10094206312394327,0.03012561755422194,0.018000341617863125,-0.09850886852047491,0.03041826164029704,-6.378076747304284e-06,-0.9445724369943116,0.28177832487611154,0.16847518185370805,-0.9445450433940072,0.28189440417009226,0.16843457453088856,-0.9554845192769763,0.29504123371977986,-6.186400967079462e-05,mpc_1np1s_wadv_30/frames/frame_000147.png
148,37,37,0,0.005562420536760968,5.5624205367609685,-0.004078339729468987,0.015771237134308294,6.250741666975926e-07,0.0,0.0,0.0005046937026698145,0.009994829913652137,0.6668357229102322,-0.6611709358037804,-0.1,-0.0005333906799677781,-0.9999996327672609,0.0005901946925828894,-0.0003187945278980308,0.030865868407104355,0.7686906573012503,-0.7027121310881239,-0.10000591233209535,-0.8573766264263301,0.5146894294742912,0.0003341335570471114,solved,0,9.024995940501639e-07,0.0009024995940501638,6.303409653611363e-06,0.006303409653611363,0.9055972589689077,32,0.215765612435294,0.002837607701105683,2.837607701105683,0.0011623922988943172,1.1623922988943172,0.10188128360149129,0.10188225889736531,0.10112243469399801,0.9925516357797227,0.9925421343068892,3.5319256720804497,0.9981006267324177,0.1009303654447874,-0.0840391494556501,0.057254422698815616,-0.006256867305908622,-0.08403193063200032,0.05726675466699582,-0.0062568460264395,-0.08395503084113187,0.05636753726312449,-1.8379248137301296e-05,-0.8248732886441565,0.5619719410168244,-0.06141331444529462,-0.8247945377482536,0.5620876027560943,-0.06141251768615137,-0.8302315019924547,0.5574187116211722,-0.00018175242905214755,mpc_1np1s_wadv_30/frames/frame_000148.png
149,37,37,0,0.005479470047688911,5.4794700476889115,-0.010689969499886688,0.00039682275870018126,7.766485983119178e-07,0.0,0.0,-0.00018275307692350716,0.009996374130898272,0.6667288232152333,-0.6611669675761934,-0.1,-0.0005333909712709597,-0.9999996333061428,0.0005892809275335903,-0.0003187940405039579,0.030965832148413336,0.7685985726243465,-0.7026703032029606,-0.10000592094120855,-0.8573595093267508,0.5147179402855687,0.00033721680723432733,solved,0,1.1122059385660834e-05,0.011122059385660833,7.069785738430024e-05,0.07069785738430023,1.0147020897683912,32,0.31665238727173606,0.002844496380483738,2.844496380483738,0.001155503619516262,1.155503619516262,0.12296594565884539,0.12296620972874263,0.1011393087371392,0.8224985234345967,0.8224967571192728,35.09399796048164,0.8182099478131072,0.0827531885236684,-0.09619372332920502,0.03149226903671924,-0.06982569995895044,-0.09619361661417081,0.03149266289015351,-0.06982613437550578,-0.09208467690380306,0.041827885163270295,-8.609113200108709e-06,-0.7822793767315321,0.25610561418436006,-0.5678458339406721,-0.7822768289464981,0.2561082671379785,-0.5678481473043592,-0.9104736630456008,0.4135670461420778,-8.512133716954475e-05,mpc_1np1s_wadv_30/frames/frame_000149.png
150,37,37,0,0.005388544065616588,5.388544065616588,-0.014192616892435546,-0.007902399601225617,9.323062855621063e-07,0.0,0.0,-0.000563092746208059,0.00999512125363219,0.6665868970463089,-0.6612459915722056,-0.1,-0.0005333918688219043,-0.9999996349612785,0.0005864654648326314,-0.0003187925387597603,0.03106578336094966,0.7685020740693517,-0.7026364063524784,-0.10000592772091903,-0.8578644201844385,0.5138759799295489,0.0003373915571144578,solved,0,2.73534564091408e-06,0.00273534564091408,8.053239273833025e-06,0.008053239273833026,1.016616918246792,32,0.41732040970509027,0.002834743522328576,2.834743522328576,0.001165256477671424,1.165256477671424,0.10182173371563949,0.1018218318852613,0.1022788718879514,1.0044895932884876,1.0044886248285645,4.514968532168295,0.9968968022605957,0.10196148032391988,-0.09489959400975928,0.036114553206420597,-0.007580999956606763,-0.09489917427929484,0.03611588114948994,-0.007581246492124882,-0.09649855499482829,0.03389685048227342,-6.779710473581169e-06,-0.9320170708818231,0.3546841316538447,-0.07445365227995863,-0.9320120500899326,0.3546968315222161,-0.07445600174103986,-0.9434847414091977,0.331415959685282,-6.628651986901537e-05,mpc_1np1s_wadv_30/frames/frame_000150.png
151,37,37,0,0.00529327093981545,5.29327093981545,-0.03761162338698777,-0.05852033878343085,8.969166542045861e-07,0.0,0.0,-0.002760898302501906,0.010000004786269088,0.666210780812439,-0.66183119496004,-0.1,-0.0005333962695399771,-0.9999996429618541,0.0005726609783038546,-0.0003187851755258594,0.03116578340881235,0.7683781415811359,-0.7026519283390434,-0.10000585585377153,-0.8615634802781889,0.5076497362496941,0.00033872784188818995,solved,0,0.00010492694337329987,0.10492694337329987,0.0001585989442469216,0.15859894424692159,0.9605246375993559,32,0.5178493581438033,0.0028158978926666432,2.8158978926666434,0.0011841021073333569,1.1841021073333569,0.2396925457796144,0.23970317367872862,0.12490075607119984,0.5210873607477138,0.5210642569071817,36.86712618933286,0.800029021688803,0.09992422968783383,-0.18015228406267997,-0.10409878565450405,0.11900047846361643,-0.1801586284003731,-0.10411253123887576,0.11900025598117481,-0.12393248821573888,-0.0155219865650702,7.186714749696232e-05,-0.7515973576763676,-0.4343013059330506,0.496471336130042,-0.7515905010162178,-0.4343393941809739,0.4964483955505298,-0.9922477022083918,-0.12427456048562165,0.0005753940148768544,mpc_1np1s_wadv_30/frames/frame_000151.png
