k,i_ref,i_ref_mpc,ref_advanced,dist_to_ref_m,dist_to_ref_mm,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,vessel_tip_alignment_deg,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,jac_pred_mm,jac_mpc_pred_mm,jac_actual_mm,jac_gain_actual_over_jac,jac_gain_actual_over_mpc,jac_angle_actual_deg,jac_cos_actual,jac_actual_along_pred_mm,jac_dp_pred_x_mm,jac_dp_pred_y_mm,jac_dp_pred_z_mm,mpc_dp_pred_x_mm,mpc_dp_pred_y_mm,mpc_dp_pred_z_mm,actual_dp_x_mm,actual_dp_y_mm,actual_dp_z_mm,jac_dir_pred_x,jac_dir_pred_y,jac_dir_pred_z,mpc_dir_pred_x,mpc_dir_pred_y,mpc_dir_pred_z,actual_dir_x,actual_dir_y,actual_dir_z,frame_path
11,19,19,0,0.0019102085852682124,1.9102085852682125,0.0002833895777156208,0.0018988235190090942,-3.060195334285654e-11,0.0,0.0,7.681462340151592e-05,0.010149926439418302,0.6623019090596588,-0.7181390589708112,-0.1,-0.0005337327730766231,-0.9999996898749726,-0.00048385368709564537,-0.0003182214565961132,0.017217999715341995,0.7809497142357543,-0.7109222465981355,-0.10000045327917556,-0.9965570430830852,-0.08290959628506159,0.00024233312978912065,solved,0,1.2737730478524185e-07,0.00012737730478524186,1.2737897091948162e-07,0.00012737897091948163,8.891493153821633,17,0.10648216878893384,0.00033237756678743255,0.3323775667874325,0.0036676224332125675,3.6676224332125678,0.10147233141943503,0.10147233141950578,0.10147388340097044,1.0000152946277443,1.000015294627047,0.0719179336345352,0.9999992122306424,0.10147380346295451,-0.10125349647551468,-0.00666053312917387,2.817115146703141e-05,-0.10125349647560622,-0.006660533128810542,2.8171163152235223e-05,-0.10126332551352313,-0.006533535617858632,2.8822667683114922e-05,-0.9978434028186877,-0.06563890901099544,0.0002776239697360081,-0.997843402818894,-0.06563890900736911,0.00027762408489236654,-0.9979250041450045,-0.06438637606921575,0.00028404025466555936,mpc_1np1s_bc_30/frames/frame_000011.png
12,19,19,0,0.001808735969752294,1.808735969752294,0.0002926249654385693,0.001601436006186931,-2.530853972730354e-11,0.0,0.0,6.48068178917643e-05,0.010148075596925188,0.6623048353093132,-0.7181230446107494,-0.1,-0.000533732669961995,-0.9999996900317052,-0.0004835296531066522,-0.00031822162954370963,0.01731948047131125,0.7808484915776112,-0.7109290968299519,-0.10000042486527318,-0.9965579791309619,-0.08289833975892441,0.00024391725476906125,solved,0,1.1431534860415376e-07,0.00011431534860415376,1.1431982565134575e-07,0.00011431982565134576,8.889373477304193,17,0.2070268358604565,0.0003185721904446085,0.3185721904446085,0.0036814278095553916,3.6814278095553914,0.10145304445220153,0.10145304445227508,0.10145419165739372,1.0000113077453554,1.0000113077446304,0.06455870369312532,0.9999993652038321,0.10145412725466164,-0.10121373082886183,-0.0069641980482100276,2.9425641720346773e-05,-0.1012137308289418,-0.006964198048131642,2.9425638745084193e-05,-0.101222658143163,-0.006850231816346586,2.8413902383728207e-05,-0.9976411390645606,-0.06864454473311672,0.0002900419783283126,-0.9976411390646256,-0.06864454473229434,0.0002900419490016036,-0.9977178516683411,-0.06752044153561947,0.00028006632273687307,mpc_1np1s_bc_30/frames/frame_000012.png
13,19,19,0,0.0017072819944786999,1.7072819944786999,0.0002840061719898587,0.0014749528207224918,-2.0693703444933075e-11,0.0,0.0,5.96652219616996e-05,0.010146060570288107,0.6623076753710331,-0.7181082950825421,-0.1,-0.0005337325750281505,-0.9999996901759101,-0.0004832313270892938,-0.0003182217887700866,0.01742094107701413,0.7807472970318556,-0.7109360616762955,-0.10000039635313855,-0.9965582117429779,-0.08289553877658429,0.0002454762267050379,solved,0,1.0896906058214243e-07,0.00010896906058214243,1.0897096047469922e-07,0.00010897096047469923,8.888726825326271,17,0.3075081045936245,0.0003044549916455389,0.3044549916455389,0.003695545008354461,3.6955450083544608,0.10143292529687103,0.10143292529686783,0.10143394889384547,1.0000100913679797,1.0000100913680114,0.06155071886850614,0.9999994229798799,0.10143389036441611,-0.1011859841357804,-0.007073478543442051,2.9155611550796607e-05,-0.10118598413577651,-0.007073478543451195,2.9155611605546916e-05,-0.101194545755523,-0.006964846343660014,2.8512134625513497e-05,-0.9975654733374997,-0.06973552742109718,0.0002874373529646787,-0.9975654733374929,-0.06973552742118952,0.0002874373535044564,-0.9976398124993338,-0.06866385879296677,0.00028109064998891583,mpc_1np1s_bc_30/frames/frame_000013.png
14,19,19,0,0.0016058480992968086,1.6058480992968087,0.00026913004921362674,0.0014068477237308573,-1.6682526812935016e-11,0.0,0.0,5.68676466011984e-05,0.010143860119670596,0.6623103666715252,-0.7180942266053049,-0.1,-0.0005337324845455079,-0.9999996903132707,-0.00048294698894436313,-0.00031822194053065107,0.017522379678210836,0.7806461276055269,-0.7109430720827477,-0.10000036806536439,-0.9965582239878975,-0.08289538710330895,0.0002469799182311604,solved,0,1.0615514391840363e-07,0.00010615514391840363,1.0615839998618321e-07,0.00010615839998618321,8.888566298839459,17,0.40795306704532736,0.0002902267039536837,0.29022670395368366,0.0037097732960463163,3.7097732960463166,0.1014110575664352,0.10141105756641007,0.10141202799723993,1.0000095692799977,1.0000095692802455,0.05997516895207777,0.9999994521424387,0.10141197243789357,-0.10116106461635697,-0.0071162317625925895,2.9119223080677574e-05,-0.10116106461632857,-0.007116231762638314,2.911922307446968e-05,-0.10116942632876214,-0.007010406452123696,2.8287774164748036e-05,-0.9975348551126739,-0.07017214821895225,0.00028714051287357235,-0.997534855112641,-0.07017214821942051,0.00028714051281242834,-0.9976077623801746,-0.06912795839478227,0.00027893904424747257,mpc_1np1s_bc_30/frames/frame_000014.png
15,19,19,0,0.0015044360919496094,1.5044360919496094,0.0002510929707278994,0.0013603689755448086,-1.3235665614430014e-11,0.0,0.0,5.493687518736594e-05,0.010141448387776586,0.6623128776012325,-0.7180806229155494,-0.1,-0.0005337323971348927,-0.9999996904458911,-0.00048267230465347423,-0.00031822208713861355,0.0176237941620886,0.780544983629676,-0.710950102609544,-0.10000033937399677,-0.9965581904495441,-0.08289578578785421,0.0002484885198563319,solved,0,1.0406681241544897e-07,0.00010406681241544896,1.0406688551576798e-07,0.00010406688551576797,8.888558071168802,17,0.5083696872065367,0.00027595612274458647,0.2759561227445865,0.0037240438772554135,3.7240438772554136,0.10138707978685414,0.10138707978687396,0.10138803174518277,1.0000093893455717,1.000009389345376,0.058807454927994114,0.9999994732682829,0.10138797834089071,-0.10113575692958361,-0.007134268546830231,2.8814715248186483e-05,-0.10113575692960453,-0.0071342685468156475,2.8814715252734047e-05,-0.10114397585092583,-0.007030526796403258,2.8691367615074626e-05,-0.9975211549854393,-0.07036664397306433,0.00028420500234116225,-0.9975211549854504,-0.07036664397290672,0.00028420500238596013,-0.9975928530216435,-0.06934276832666987,0.0002829857441870878,mpc_1np1s_bc_30/frames/frame_000015.png
16,20,20,1,0.0023801597370606735,2.3801597370606737,-0.012840209753502481,0.13547975013393193,-4.4581820961326257e-11,0.0,0.0,0.005413375754706546,0.010158391149065724,0.6621844755036974,-0.7167258254142101,-0.1,-0.0005337237836607276,-0.999999703144016,-0.0004556054340851033,-0.00031823653349213524,0.017725378073579257,0.7804326594507173,-0.7107869739971749,-0.10000031398235679,-0.9976053738186017,-0.06916253151766454,0.00024972447974797187,solved,0,5.206223430749866e-06,0.005206223430749867,5.206246995331201e-06,0.005206246995331201,8.888581483821085,17,0.6087594685036128,0.0002616688745311018,0.26166887453110177,0.0037383311254688984,3.7383311254688985,0.1942044910103658,0.1942044915415422,0.19805975360216074,1.0198515625037177,1.019851559714281,1.0221771799369157,0.9998408650460278,0.1980282353723875,-0.11297369168519136,0.15796306283560987,9.757445182879518e-06,-0.11297369173257632,0.15796306345661204,9.72749282512897e-06,-0.11232417895867819,0.16312861236911225,2.5391639985050674e-05,-0.5817254333174062,0.8133852209791508,5.0243149023565616e-05,-0.581725431970301,0.8133852219521001,5.008891786134702e-05,-0.5671226835124811,0.8236333197545319,0.00012820191645827465,mpc_1np1s_bc_30/frames/frame_000016.png
17,20,20,0,0.00226597272366822,2.26597272366822,-0.0028175698060268124,0.039365289605741545,-3.9409452205817913e-11,0.0,0.0,0.0015706230255043694,0.01015555206116504,0.6621562998056372,-0.7163321725181527,-0.1,-0.0005337212844961346,-0.9999997066911023,-0.0004477523212748575,-0.00031824072487664153,0.017826933594190908,0.7803284953102488,-0.7107439609710083,-0.10000028630014828,-0.9978694895138248,-0.06524123582949182,0.0002510873537819088,solved,0,1.5033048338785448e-06,0.0015033048338785448,1.5033060445039657e-06,0.0015033060445039657,8.099448097016342,17,0.7325689131885986,0.00041619579888556405,0.41619579888556407,0.003583804201114436,3.583804201114436,0.11212719250057919,0.11212719250053049,0.11269556045311203,1.005068957314078,1.0050689573145146,0.7093632135739566,0.9999233598196839,0.11268692344503808,-0.10416068897826702,0.04150972529496297,2.9590055398352883e-05,-0.10416068897822761,0.041509725294930355,2.95900553504147e-05,-0.10416414046843236,0.04301302616660507,2.7682208511570217e-05,-0.9289511906554602,0.3702021282192413,0.0002638972290169491,-0.9289511906555121,0.3702021282191112,0.00026389722858952976,-0.9242967517941468,0.38167453973930954,0.00024563708100185225,mpc_1np1s_bc_30/frames/frame_000017.png
18,20,20,0,0.002163340386037813,2.163340386037813,-0.0005556360226591901,0.01192881669089278,-3.326526754573208e-11,0.0,0.0,0.00047600217227676474,0.010154133684920333,0.6621507434454106,-0.7162128843512438,-0.1,-0.0005337205270782412,-0.9999997077539254,-0.00044537231111028616,-0.00031824199513819427,0.017928474931040113,0.7802263469056842,-0.710735445157742,-0.10000025845155225,-0.9979422136854157,-0.06411922041217302,0.00025242501321858066,solved,0,4.831689202818576e-07,0.00048316892028185763,4.831714004931686e-07,0.00048317140049316864,7.874270272299549,17,0.8395791215650944,0.0004515799027087732,0.4515799027087732,0.0035484200972912268,3.5484200972912268,0.10244423916533854,0.10244423917030625,0.10250276292003835,1.0005712742383235,1.0005712741898038,0.2681657689772805,0.9999890470620701,0.10250164021363843,-0.10212879945965712,0.008033042223530988,2.6300745082020992e-05,-0.10212879946192022,0.008033042259047996,2.6300459018968603e-05,-0.10214840456468366,0.008515813266329886,2.7848596026447403e-05,-0.9969208643819168,0.0784138013906879,0.00025673229940800525,-0.9969208643556653,0.07841380173358148,0.0002567295070174318,-0.996542938499803,0.08307886562016879,0.0002716862963798536,mpc_1np1s_bc_30/frames/frame_000018.png
19,20,20,0,0.0020617178678698713,2.0617178678698713,3.1250290330257916e-05,0.004085597163324968,-2.771225361009163e-11,0.0,0.0,0.00016342702261476415,0.010152611125118316,0.6621510559483139,-0.7161720283796105,-0.1,-0.0005337202670313544,-0.9999997081175209,-0.00044455517623586825,-0.00031824243125987123,0.018030001042291296,0.7801247622515122,-0.7107368522464542,-0.10000023015797306,-0.9979629024850724,-0.06379640164853792,0.0002537720792121797,solved,0,1.9000183386966753e-07,0.00019000183386966754,1.9000210025531715e-07,0.00019000210025531714,7.809850438337692,17,0.9420916149597398,0.000452712781711613,0.452712781711613,0.003547287218288387,3.5472872182883872,0.10158716997702565,0.10158717040171547,0.101594402712019,1.0000711973273297,1.000071193146486,0.10708682363026582,0.9999982533870058,0.10159422526591506,-0.10157461517695576,-0.0015968353250481592,2.7794588093468267e-05,-0.10157461571158599,-0.00159682517730797,2.7975416344583337e-05,-0.10158465417198226,-0.001407088712213067,2.8293579187876894e-05,-0.999876413526701,-0.015718868095344028,0.00027360333100876936,-0.999876414609445,-0.015718768137684094,0.0002753833602605288,-0.9999040445164644,-0.013850061368061994,0.00027849545282606063,mpc_1np1s_bc_30/frames/frame_000019.png
20,20,20,0,0.0019601979302820787,1.9601979302820787,0.0001857914819467398,0.001827593865099364,-2.2818417549339937e-11,0.0,0.0,7.348717134773e-05,0.010150967105663702,0.6621529138631334,-0.7161537524409595,-0.1,-0.0005337201500976379,-0.9999997082807988,-0.00044418774048634755,-0.0003182426273678133,0.018131510713347933,0.7800233500773581,-0.7107411221596366,-0.10000020260576348,-0.9979689304368796,-0.06370203173863034,0.0002550196876576618,solved,0,1.0486442340096513e-07,0.00010486442340096513,1.0486708132546088e-07,0.00010486708132546088,11.401646195590619,18,0.07120129848566374,0.0004403846582601954,0.4403846582601954,0.0035596153417398048,3.559615341739805,0.10150041374856679,0.10150041374859431,0.1015020294593169,1.000015918267625,1.000015918267354,0.05918872847137654,0.9999994664160945,0.1015019752994676,-0.101406094759366,-0.004374601234470565,2.82988356673818e-05,-0.1014060947593931,-0.004374601234480302,2.8298835663687072e-05,-0.10141217415404746,-0.004269913182364249,2.7552209583281417e-05,-0.9990707526627977,-0.04309934386383066,0.00027880512622818136,-0.9990707526627939,-0.0430993438639149,0.0002788051261917047,-0.9991147437568679,-0.042067269049784625,0.0002714449132696863,mpc_1np1s_bc_30/frames/frame_000020.png
21,20,20,0,0.001858702426790187,1.858702426790187,0.00022030387352128908,0.0011655690724427972,-1.857954242127774e-11,0.0,0.0,4.710041642382223e-05,0.010149185349602047,0.6621551169018686,-0.716142096750235,-0.1,-0.0005337200751508218,-0.9999997083853782,-0.00044395223847291666,-0.00031824275306001115,0.018233002566843952,0.7799220007047826,-0.7107462210241601,-0.10000017403449792,-0.9979707959777002,-0.06367279379228388,0.0002563324419454232,solved,0,7.999635268255689e-08,7.999635268255689e-05,7.999635542641281e-08,7.999635542641281e-05,11.396228553648507,18,0.17113833231414302,0.00042249761708331894,0.42249761708331895,0.003577502382916681,3.577502382916681,0.10147677749897671,0.1014767774989339,0.1014775569138548,1.0000076807216123,1.0000076807220342,0.04516519559474468,0.9999996893062566,0.10147752538541278,-0.10134454335401964,-0.005178714977838806,2.8550312942963792e-05,-0.10134454335397614,-0.005178714977849275,2.8550313307951214e-05,-0.10134937257555432,-0.00509886452348951,2.857126556177203e-05,-0.9986969024025383,-0.0510334985547903,0.0002813482418994995,-0.998696902402531,-0.051033498554915006,0.0002813482454963763,-0.9987368208084739,-0.05024622861011506,0.0002815525563551597,mpc_1np1s_bc_30/frames/frame_000021.png
