node_index,s_m,insertion_m,position_error_m,position_error_mm,tangent_error_rad,tangent_error_deg,feasible,solver_success,termination_reason,function_evaluations,objective_value,jacobian_condition,jacobian_effective_rank,minimum_joint_margin_rad,minimum_state_margin,minimum_clearance_m,contact_active,source_magnet_lumen_distance_m,source_magnet_lumen_exclusion_radius_m,source_magnet_lumen_margin_m,source_magnet_lumen_segment_index,source_magnet_lumen_constraint_satisfied,delta_q_norm_rad,delta_insertion_m,attempt_count,chain_rule_relative_error,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,magnet_pose_x,magnet_pose_y,magnet_pose_z,magnet_pose_rx,magnet_pose_ry,magnet_pose_rz,tip_x,tip_y,tip_z,tip_tangent_x,tip_tangent_y,tip_tangent_z,desired_x,desired_y,desired_z,desired_tangent_x,desired_tangent_y,desired_tangent_z
0,0.0,0.034,0.0,0.0,9.996002811937589e-08,5.72728773124927e-06,1,1,fixed_initial_state_feasible_and_committed,1,3.890897655596555e-07,5010048.355832963,5,4.226776597179587,0.016,nan,0,0.24304465076466444,0.24,0.0030446507646644527,8,1,0.0,0.0,1,0.03170050818472975,-0.85634357,-1.94584002,-1.76176286,-1.0331945,1.56234264,-2.05640871,0.24557497783369636,-0.6700279629478505,-0.016566991220873295,-3.077932948039142,0.5753726959665791,0.045033578217205016,0.4915750000000001,-0.6700279993753606,-0.016566997954844186,-0.999999999999995,2.9506103442897364e-08,9.608369706488439e-08,0.4915750000000001,-0.6700279993753606,-0.016566997954844186,-1.0,0.0,0.0
1,0.00025,0.03417857660114333,7.142339899004376e-05,0.07142339899004375,3.0429032231363977e-07,1.7434551215247057e-05,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,19,0.007936897240426252,4873497.309322491,5,4.226776142416409,0.01582142339885667,nan,0,0.2430418958575964,0.24,0.0030418958575963995,8,1,4.615416526328089e-06,0.0001785766011433293,1,nan,-0.856340058983252,-1.9458398427604149,-1.7617631335166948,-1.0331916900940001,1.5623417646574507,-2.056409164763177,0.24557773477474007,-0.6700282839744314,-0.016567039063553834,-3.077936497424527,0.5753670392503084,0.045031157064347994,0.49139642339885753,-0.6700279986085763,-0.016566993670120506,-0.9999999999999537,6.541993959876979e-08,2.970250279503287e-07,0.4913250000000001,-0.6700279993753606,-0.016566997954844186,-1.0,0.0,0.0
12,0.003000000000000001,0.03671909111249766,6.374564697878815e-05,0.06374564697878815,1.0620668534513698,60.8519482635028,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,27,0.006380007309224545,4564338.071635219,5,4.2277138504071115,0.013280908887502343,nan,0,0.24165258643840748,0.24,0.0016525864384074884,8,1,0.002676472831320497,0.00015927462645393825,1,nan,-0.8519779813946216,-1.9429931351687446,-1.7656727602758213,-1.0374107575992062,1.566200864597353,-2.0554714567724743,0.24699899075677006,-0.664323871545028,-0.01652319233705274,-3.0727477749984433,0.5690180300300491,0.047736669654182176,0.4888632764506933,-0.6693669569386435,-0.016567335827537256,-0.9996354885044519,0.026997961576649607,-1.3898619616796405e-05,0.48879956655490675,-0.6693648492077171,-0.016566997954844186,-0.4633114172705784,0.8861955374671711,0.0
13,0.003250000000000001,0.03683076127299496,4.466875909127536e-05,0.04466875909127536,1.2197488105428247,69.8864589102061,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,21,0.0031826240521945185,4492795.757847206,5,4.2280455279056355,0.013169238727005046,nan,0,0.24111355764690323,0.24,0.0011135576469032404,8,1,0.002971866469954714,0.00011167016049729722,1,nan,-0.8504062197146224,-1.942058673544309,-1.7669597834297142,-1.0387870713900325,1.5675527739125377,-2.0551397792739508,0.24757966460386543,-0.6623869969681124,-0.016513509151149963,-3.07101543529159,0.5667583760051083,0.04854688021287889,0.48875767106247225,-0.6691339422585234,-0.016567383918221774,-0.9993383144752974,0.03637214553259204,-1.584385120842427e-05,0.48871305366003187,-0.669131835965453,-0.016566997954844186,-0.3095001681877062,0.9508993878911595,0.0
14,0.0035000000000000014,0.03691384426757352,3.323635506604087e-05,0.03323635506604087,1.3540141058018298,77.57929366362497,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,24,0.0018006197251765892,4403394.192696393,5,4.228383597849497,0.013086155732426483,nan,0,0.24053405459136415,0.24,0.0005340545913641581,8,1,0.003039316401078391,8.308299457856355e-05,1,nan,-0.8487635930693158,-1.9411278932113174,-1.768242351291542,-1.0401782669726878,1.5689592493319364,-2.0548017093300888,0.24821794973363231,-0.6604109866299586,-0.016505797625464835,-3.0692504278256663,0.5643982928573474,0.049327514534412156,0.4886827468929385,-0.6688930847819025,-0.016567376099197763,-0.9989400561977985,0.04603003240168645,-1.5512546611110094e-05,0.4886495755132778,-0.668891042264747,-0.016566997954844186,-0.16990761338367488,0.9854599955930549,0.0
15,0.0037500000000000016,0.03696200279613133,1.927249296111986e-05,0.01927249296111986,1.4611950100096929,83.72030711913148,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,19,0.0006647409512395,4335799.600330675,5,4.22872970583265,0.013037997203868675,nan,0,0.2400000000331755,0.24,3.3175517888395234e-11,8,1,0.0031278088041536405,4.815852855780817e-05,1,nan,-0.8471024037079333,-1.9401580426108118,-1.769584438219134,-1.041627609660634,1.5703950227643941,-2.0544556013469366,0.24883004368736175,-0.6583707521777266,-0.01649578394595297,-3.067415528212102,0.5620162807730587,0.05018148009061309,0.4886450678448876,-0.668643853444009,-0.01656739386898568,-0.9984290951213792,0.05602982911998953,-1.6244656062260737e-05,0.4886258732401208,-0.6686421683965985,-0.016566997954844186,-0.05351655164605934,0.9985669625517933,0.0
16,0.004000000000000002,0.03698334586021706,8.582989034575443e-06,0.008582989034575444,1.5678838453356387,89.83312710447443,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,26,0.00020528349447868438,4325043.324407652,5,4.229061502486957,0.013016654139782945,nan,0,0.23999999999390245,0.24,-6.097539140270669e-12,8,1,0.0032025962851619104,2.1343064085729835e-05,1,nan,-0.8458174893597306,-1.9390102281152655,-1.7711918395384634,-1.0433605043194942,1.5716565250622248,-2.05412380469263,0.24892899942789096,-0.6562557220840799,-0.016455926335982807,-3.0653726638615084,0.5601716242736463,0.05165475848351249,0.48863629764788247,-0.6683946030612128,-0.016567485812882515,-0.9978147443682261,0.06607371275134402,-2.011528019506986e-05,0.4886278290330423,-0.6683932945284501,-0.016566997954844186,0.06316731969280312,0.9980029507585774,0.0
17,0.004250000000000002,0.03698300736844075,9.718107342818959e-07,0.0009718107342818958,1.674925201167946,95.9661450270237,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,24,9.292827523474708e-05,4317071.602259089,5,4.229391603048244,0.013016992631559254,nan,0,0.23999999999750615,0.24,-2.493838469064258e-12,8,1,0.003218857868671726,-3.384917763096795e-07,1,nan,-0.8445085251478396,-1.9378648148498048,-1.772797964303585,-1.0450913338554926,1.5729415593409977,-2.053793704131342,0.24904737032287297,-0.6541291057401716,-0.016416426487191937,-3.0633189087782196,0.5582916002418281,0.05310824868902697,0.48865132398226363,-0.6681452429349422,-0.016567472609776094,-0.997095673501552,0.07615915897015885,-1.973435356171692e-05,0.4886515313061993,-0.6681444206603016,-0.016566997954844186,0.17938556503543784,0.9837788466199692,0.0
18,0.004500000000000002,0.03694612855118154,1.4808145809771822e-05,0.014808145809771823,1.8119663842756648,103.81802643857549,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,27,0.0004280254934748918,4323507.843105655,5,4.229716708638537,0.013053871448818463,nan,0,0.23999999999969115,0.24,-3.088362898751029e-13,8,1,0.0031534073765355627,-3.687881725920883e-05,1,nan,-0.8432071644333416,-1.9367524217145682,-1.7743616751916829,-1.0467775817742317,1.574213841721596,-2.0534685985410492,0.2491818104872644,-0.6520442998107441,-0.016378827095988147,-3.061306691444865,0.5564293793755366,0.054511978782771454,0.48870446662175454,-0.6679042545941611,-0.01656746118239264,-0.9962948677018438,0.08600311746205698,-1.9436390655643845e-05,0.4887192656232679,-0.6679044915683571,-0.016566997954844186,0.3214681718768682,0.9469203844411337,0.0
19,0.0047500000000000025,0.03688259588078413,2.5463683743772802e-05,0.0254636837437728,1.976493376116376,113.24472868703158,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,25,0.001090225346091022,4341780.438510563,5,4.230034977269588,0.013117404119215872,nan,0,0.24000000000053678,0.24,5.367928324062632e-13,8,1,0.003075465110451203,-6.353267039740929e-05,1,nan,-0.8419199251927897,-1.935676698673056,-1.775877507234571,-1.0484126128273668,1.5754676170095456,-2.053150329909999,0.24933059297905033,-0.6500098334368687,-0.01634319633933734,-3.059344309261712,0.5545933017166286,0.055860963445343685,0.4887855787386631,-0.6676727677780321,-0.016567447244255955,-0.9954233898371185,0.09556293529778524,-1.903815523829859e-05,0.48881100932571336,-0.6676739853867972,-0.016566997954844186,0.48065897774745425,0.8769076046601332,0.0
20,0.005000000000000003,0.03677798754210783,4.18972990411596e-05,0.0418972990411596,2.208425988121878,126.53348848639209,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,26,0.002799244715533226,4377241.231372533,5,4.230333639750588,0.013222012457892174,nan,0,0.23999999999613436,0.24,-3.865630038291101e-12,8,1,0.002871208976453314,-0.00010460833867630137,1,nan,-0.8407016663457252,-1.934680751687617,-1.7772838859601583,-1.0499310278631724,1.5766487568623602,-2.0528516674289974,0.24948527692995337,-0.6481096299342703,-0.016310615519942562,-3.0575129729221264,0.5528616558687649,0.05710360526177524,0.4889078879974227,-0.6674630968098656,-0.016567416419133337,-0.9945346517626282,0.10440702141528484,-1.796040605879876e-05,0.48894968437476966,-0.6674659728132127,-0.016566997954844186,0.675931033612005,0.736964882338505,0.0
21,0.005250000000000003,0.03661870080311615,6.378044311412875e-05,0.06378044311412875,2.440837287888017,139.84967507414166,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,26,0.006364317329065193,4472938.472251791,5,4.230566653308239,0.013381299196883856,nan,0,0.23999999997646335,0.24,-2.3536644855326472e-11,8,1,0.002258145792621439,-0.0001592867389916819,1,nan,-0.8397352870092648,-1.9339033113298558,-1.7783823910329595,-1.0511205524801033,1.5775894706135178,-2.052618653871347,0.24961763733142509,-0.6466149620617578,-0.01628517911375843,-3.0560699408471637,0.551487577575511,0.058064268122512586,0.48908147684938874,-0.6673093792397111,-0.01656732289944778,-0.993796392009897,0.11121479678186609,-1.4313610529766068e-05,0.4891450391357376,-0.66731463995154,-0.016566997954844186,0.8313243598514912,0.5557875571812565,0.0
22,0.005500000000000003,0.03642481154623351,7.762527530743802e-05,0.07762527530743803,2.6416361450739845,151.35460212194775,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,28,0.009392523408033053,4526816.124495272,5,4.230760676594871,0.013575188453766492,nan,0,0.23999999990267637,0.24,-9.732362138414885e-11,9,1,0.0018627670310985872,-0.00019388925688263586,1,nan,-0.8389284722640996,-1.933264966895669,-1.7792863345104581,-1.0520968970749538,1.5783662973305617,-2.052424630584716,0.24973362533147242,-0.6453816718254273,-0.016264511951961935,-3.0548834850785656,0.5503450325882969,0.058852789713249955,0.48928714336186435,-0.6671927551449702,-0.01656727284507157,-0.9931680782854305,0.11669262239306705,-1.2403791272368493e-05,0.48936445223323616,-0.6671997513017106,-0.016566997954844186,0.927548663744206,0.3737023901266061,0.0
23,0.005750000000000003,0.036205127552577085,8.795119288642568e-05,0.08795119288642568,2.790151043260588,159.86387898285525,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,19,0.01203583460897729,4670347.319765149,5,4.230907147059446,0.013794872447422918,nan,0,0.24000000000042307,0.24,4.2307823910903153e-13,9,1,0.0014126901772073398,-0.00021968399365642627,1,nan,-0.8383131580978609,-1.932782526617407,-1.7799698195468563,-1.0528359768860671,1.5789574733046559,-2.0522781601201405,0.24982445646473303,-0.6444464240029817,-0.016248680899494383,-3.053984149573106,0.5494737769829672,0.059447750145779035,0.4895152975860687,-0.6671160834393273,-0.01656721330963698,-0.992691282638639,0.12068147029272273,-1.006184052309872e-05,0.4896028478995197,-0.6671244684597264,-0.016566997954844186,0.9735602188061857,0.22843051538280054,0.0
24,0.006000000000000004,0.035969536366425976,9.433281959371679e-05,0.0943328195937168,2.9121526381920835,166.85405546629462,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,19,0.013830184930808431,4832293.096515322,5,4.231003541410625,0.014030463633574027,nan,0,0.24000002915898278,0.24,2.9158982783883403e-08,9,1,0.0009239457652926461,-0.0002355911861511087,1,nan,-0.837908894754176,-1.932467803510271,-1.7804152797000872,-1.0533186730857629,1.5793453831546636,-2.052181765768961,0.2498858244447657,-0.6438348334668984,-0.01623803326825235,-3.0533961515761403,0.5489028188352948,0.05983443732944076,0.48975555958711287,-0.667080149894333,-0.016567145798443747,-0.9923958084145653,0.12308760858580425,-7.336832420732139e-06,0.48984942952702026,-0.6670894822775523,-0.016566997954844186,0.9943830825724717,0.10584084794477555,0.0
25,0.006250000000000004,0.03572668947398985,9.721972247069845e-05,0.09721972247069845,3.0272073236623642,173.44620335694685,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,27,0.01469044055286965,4860390.577249725,5,4.231080163684448,0.01427331052601015,nan,0,0.24000000001354924,0.24,1.3549245059252257e-11,9,1,0.0007447328424539662,-0.00024284689243612295,1,nan,-0.8375812351621726,-1.9322144462482473,-1.780774253598226,-1.0537065523192877,1.5796582613481944,-2.0521051434951385,0.24993648691878817,-0.6433419409861123,-0.016229550688238115,-3.0529233765686676,0.5484386946352556,0.060145048484678575,0.490001580301003,-0.6670604052256438,-0.016567108878136633,-0.9921629696304701,0.12495055686487341,-5.762377540155609e-06,0.4900983033951688,-0.6670702187463319,-0.016566997954844186,0.9999406754834241,-0.010892452146028016,0.0
26,0.006500000000000004,0.035478291851467905,9.902794691091255e-05,0.09902794691091256,3.138806167598914,179.8403461130503,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,25,0.015328558652821058,5056122.286771672,5,4.2310811541357705,0.014521708148532098,nan,0,0.2401262344842988,0.24,0.00012623448429879836,9,1,0.00025417705168409723,-0.0002483976225219481,1,nan,-0.837580578657412,-1.9321025507453404,-1.7809368578782352,-1.0538659570948021,1.5796735559127715,-2.052104153043816,0.24982376303496437,-0.643205629236576,-0.01621958058498657,-3.052779979487244,0.5484156127611342,0.06038577500994984,0.49024863696985876,-0.667084107657935,-0.016567204762755385,-0.9921701107259696,0.12489384003867501,-1.0119842250757471e-05,0.4903471772633173,-0.667093921019489,-0.016566997954844186,0.9918182467853947,-0.12765800148657447,0.0
