N_sqp,Np,bend_angle_deg,error,final_i_ref,final_infeasible,final_status,final_tip,jacobian_variant,log_csv_path,max_jac_cond,mean_jac_cond,mean_sqp_iters,n_steps,num_infeasible_steps,plant_contact,rollout_steps,run_name,solver_mode,success
5,12,-30.0,,43,0,solved,"[0.7567811816788244, -0.702616366812495, -0.10002329936353856]",no_contact,runs_curvature_jacobian/bend_m30_jac_no_contact_plant_contact_1_lti_rollout5_Np12_sqp5/log.csv,200481746170141.22,200076222818057.2,1.0,7,0,True,5,bend_m30_jac_no_contact_plant_contact_1_lti_rollout5_Np12_sqp5,lti,True
5,12,-30.0,,45,0,solved,"[0.7564970163860157, -0.7024514050433706, -0.10002441307042963]",no_contact,runs_curvature_jacobian/bend_m30_jac_no_contact_plant_contact_1_lti_rollout10_Np12_sqp5/log.csv,200954130985470.56,200193637520667.7,1.0,5,0,True,10,bend_m30_jac_no_contact_plant_contact_1_lti_rollout10_Np12_sqp5,lti,True
5,12,-30.0,,40,0,solved,"[0.7609199465265286, -0.7049756980661303, -0.10002494526426055]",no_contact,runs_curvature_jacobian/bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout1_Np12_sqp5/log.csv,244146340031009.6,205062180472509.7,1.0,70,0,True,1,bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout1_Np12_sqp5,ltv_oneshot,True
5,12,-30.0,,43,0,solved,"[0.7570660896931438, -0.7027806562616862, -0.10002307108578995]",no_contact,runs_curvature_jacobian/bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout5_Np12_sqp5/log.csv,200455096551785.47,200072193124645.44,1.0,7,0,True,5,bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout5_Np12_sqp5,ltv_oneshot,True
5,12,-30.0,,45,0,solved,"[0.7566958607597306, -0.7025654436442501, -0.10002386245599192]",no_contact,runs_curvature_jacobian/bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout10_Np12_sqp5/log.csv,200909373879147.66,200184441419166.22,1.0,5,0,True,10,bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout10_Np12_sqp5,ltv_oneshot,True
5,12,-30.0,,40,0,solved,"[0.7623662970177296, -0.6991314092850629, -0.10000344375651539]",no_contact,runs_curvature_jacobian/bend_m30_jac_no_contact_plant_contact_1_sqp_full_rollout1_Np12_sqp5/log.csv,201549002925606.66,200411364897386.44,5.0,16,0,True,1,bend_m30_jac_no_contact_plant_contact_1_sqp_full_rollout1_Np12_sqp5,sqp_full,True
5,12,-30.0,,42,0,solved,"[0.7570298838604937, -0.7027330195331785, -0.10002808580442542]",no_contact,runs_curvature_jacobian/bend_m30_jac_no_contact_plant_contact_1_sqp_full_rollout5_Np12_sqp5/log.csv,234758550344841.88,204424198438165.22,5.0,13,0,True,5,bend_m30_jac_no_contact_plant_contact_1_sqp_full_rollout5_Np12_sqp5,sqp_full,True
5,12,-30.0,,27,1,primal infeasible,"[0.7720157763556907, -0.7113645988988133, -0.0999995879000941]",no_contact,runs_curvature_jacobian/bend_m30_jac_no_contact_plant_contact_1_sqp_full_rollout10_Np12_sqp5/log.csv,200000020062331.78,199967998787677.06,2.5,2,1,True,10,bend_m30_jac_no_contact_plant_contact_1_sqp_full_rollout10_Np12_sqp5,sqp_full,True
5,12,-60.0,,40,0,solved,"[0.7651369233609185, -0.6958307734275316, -0.1000269217654204]",contact,runs_curvature_jacobian/bend_m60_jac_contact_plant_contact_1_lti_rollout1_Np12_sqp5/log.csv,343667645181077.7,236387782349075.88,1.0,26,0,True,1,bend_m60_jac_contact_plant_contact_1_lti_rollout1_Np12_sqp5,lti,True
5,12,-60.0,,44,0,solved,"[0.7623152444193315, -0.6909673121463834, -0.1000269241820476]",contact,runs_curvature_jacobian/bend_m60_jac_contact_plant_contact_1_lti_rollout5_Np12_sqp5/log.csv,344287374640798.25,233042235300808.2,1.0,7,0,True,5,bend_m60_jac_contact_plant_contact_1_lti_rollout5_Np12_sqp5,lti,True
5,12,-60.0,,41,0,solved,"[0.761899257413502, -0.6895665719028999, -0.10002424497497057]",contact,runs_curvature_jacobian/bend_m60_jac_contact_plant_contact_1_lti_rollout10_Np12_sqp5/log.csv,274229212268744.6,217776938183346.12,1.0,4,0,True,10,bend_m60_jac_contact_plant_contact_1_lti_rollout10_Np12_sqp5,lti,True
5,12,-60.0,,40,0,solved,"[0.7648319699124067, -0.6952908308768615, -0.10002496642743798]",contact,runs_curvature_jacobian/bend_m60_jac_contact_plant_contact_1_ltv_oneshot_rollout1_Np12_sqp5/log.csv,352968869430515.6,241326358551005.22,1.0,28,0,True,1,bend_m60_jac_contact_plant_contact_1_ltv_oneshot_rollout1_Np12_sqp5,ltv_oneshot,True
5,12,-60.0,,41,0,solved,"[0.7626223303023832, -0.6915074602466453, -0.10002578836337711]",contact,runs_curvature_jacobian/bend_m60_jac_contact_plant_contact_1_ltv_oneshot_rollout5_Np12_sqp5/log.csv,318815457717660.7,223471608288883.97,1.0,6,0,True,5,bend_m60_jac_contact_plant_contact_1_ltv_oneshot_rollout5_Np12_sqp5,ltv_oneshot,True
