k,i_ref,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err,vessel_tip alignment, i_seg, u_seg, rho, clearance
35,69,-0.025902539561398034,-0.07554178538520814,0.4010103298779655,2.795625400765568e-16,0.3423219877689208,-0.4852622553192618,0.10063478913755027,0.7879206386944522,-0.8406804750470448,-0.09,0.02010115025500484,-0.7273667499007015,-0.6820257330058177,0.07331067054115119,0.06752156506334148,0.805572234263391,-0.7322122425682188,-0.09680204103949594,-0.43835451318770086,-0.8968012292347534,0.05994059549826533,solved,0,nan,25.15561633235347,69,0.7222785572939656,0.00370165415072589,0.00129834584927411
36,71,-0.004510447112843668,-0.08712470648918266,0.009552702200290336,-3.831341469558618e-15,0.13842011629586004,-0.5462943174782849,0.10071976570672787,0.7878755342233237,-0.8415517221119366,-0.09,0.020773345984485856,-0.7255516691226007,-0.6839958923682693,0.07275206356765475,0.06852876272040875,0.8051764957080964,-0.7330692177615667,-0.09677729949870136,-0.4493132709298787,-0.8914006459545062,0.05935041660423955,solved,0,nan,25.86016791192511,70,0.5839701257854474,0.004083279819789954,0.0009167201802100459
37,72,-0.26253449281592217,-0.11545545641697799,-0.5264936794331485,5.770308014488266e-12,0.3929390780535196,-0.27857004528937757,0.10001926672136677,0.7852501892951644,-0.8427062766761064,-0.09,0.022218460649107014,-0.7247397975952418,-0.6849636793327956,0.07129743181119019,0.06952895538762242,0.8056336222242649,-0.7344163583250193,-0.09686418441856999,-0.38804745522268763,-0.9199229083411947,0.05622289757732226,solved,0,nan,19.94621356612107,72,0.16061650671815567,0.0031185727420850458,0.0018814272579149543
38,72,0.02734712727504379,-0.06574661366808544,0.19184389743320374,5.739599746149255e-14,-0.014789462568212626,-0.5494605761178584,0.10000053604898333,0.7855236605679149,-0.8433637428127873,-0.09,0.022363600973069834,-0.7228499879986393,-0.686953812741208,0.07128971428054458,0.07052896074811225,0.8051074550541849,-0.7352014750528273,-0.09664933901398808,-0.4028728519868151,-0.9133343016134647,0.05927830674238745,solved,0,nan,22.959768330349704,72,0.7266540887344877,0.004176680086004559,0.0008233199139954413
39,73,-0.9268774380012863,0.13248306792353573,0.6054971688587817,-8.601423428187707e-13,0.4763097872101874,-0.0860983053565114,0.10020470958441516,0.7762548861879021,-0.8420389121335519,-0.09,0.024030237592981212,-0.7227219233684268,-0.6872097214972763,0.06955837723454113,0.07153100784395641,0.8051692955361511,-0.7362932624030931,-0.09689413686630223,-0.38353591687683414,-0.9220040245193014,0.05299790818056026,solved,0,nan,20.064074931032902,73,0.9692379679871427,0.003745074318358548,0.001254925681641452
40,74,-0.5238061488104468,0.07797742656207071,0.39357401512299484,-7.255511049064266e-14,-0.06666545818633966,-0.49382845728941577,-0.001998385590871781,0.7710168246997976,-0.8412591378679312,-0.09,0.023972846841055755,-0.7209996776147054,-0.6890000998199323,0.0697397300105869,0.07151102398804769,0.8051385820629212,-0.73732873060917,-0.0965688787050957,-0.34884897433294393,-0.9355178441160807,0.05577414720415865,solved,0,nan,19.03291036599495,74,0.9188791839799472,0.003990326164926159,0.0010096738350738408
41,74,0.37059862577445374,-0.3801507462025745,-0.4811923706776759,2.9795729406080677e-15,0.40327052694701293,-0.0706801474962,0.09994224788807628,0.7747228109575421,-0.845060645329957,-0.09,0.02538670886223181,-0.7208952937322144,-0.6892051201295545,0.06827732328595679,0.07251044646692846,0.8049272650973771,-0.7372245068923325,-0.0969301138807621,-0.3787241518714356,-0.9241098848864301,0.05088159287550139,solved,0,nan,21.423912332862365,74,0.7183009259604171,0.004264115701131315,0.000735884298868685
42,74,0.3657688364347062,-0.008883966311646875,0.000883074360992125,-3.01167583765501e-15,-0.04524501174497792,-0.3696265429727496,0.10027305471520286,0.7783804993218892,-0.8451494849930734,-0.09,0.025356934960525972,-0.7196048563163085,-0.6905419779842069,0.06839337144089168,0.07351317701408049,0.8041772162265887,-0.7374665349248212,-0.09681544344364997,-0.3997859922767226,-0.9151252882785604,0.05212356659517921,solved,0,nan,22.709053333110635,74,0.9873594989844303,0.0050000129985908965,-1.2998590896359796e-08
43,76,0.031218421081617816,-0.001671098861551474,0.3853197965347794,3.957712137998422e-12,0.3088203323169111,-0.07339278218692727,-0.0020003648149706237,0.7786926835327054,-0.845166195981689,-0.09,0.026448267481087154,-0.7194561524013071,-0.6907660235095667,0.06727283763850622,0.07349317336593078,0.8051097347814716,-0.7394319508980333,-0.09614898596321673,-0.2857484333175709,-0.9561655813093108,0.06399385166346175,solved,0,nan,15.682900365247539,76,0.9922973306291261,0.004187683074245271,0.0008123169257547294
44,76,0.13851818561030177,-0.1868616936770511,-0.06326952074383392,-5.020496564806076e-13,-0.03770366547558687,-0.27494674649090395,0.1012519409636916,0.7800778653888084,-0.8470348129184595,-0.09,0.02641050221484819,-0.718493158561697,-0.6917594048040531,0.06737204418702242,0.07450569277556769,0.8050689388575888,-0.7393840442474229,-0.09647082712435494,-0.3075051773709403,-0.949778462786994,0.05797789743328999,solved,0,nan,17.101414815065567,76,0.9043755971314659,0.004110134092810817,0.0008898659071891833
45,77,0.045184156934181145,-0.018665010067404862,0.41825858753069484,2.626482622861133e-13,0.23612185948460115,-0.06490046040016498,0.1014101267009318,0.7805297069581503,-0.8472214630191336,-0.09,0.027249042177131578,-0.7183476825795044,-0.6919608584309974,0.06651516392915074,0.07551979404257701,0.8049798187770895,-0.7403969957647395,-0.09647149628824668,-0.3095682650342722,-0.9491871983955871,0.056667016622768025,solved,0,nan,17.19710369949381,77,0.917803769466882,0.004169156554492756,0.0008308434455072443
46,78,0.2373148717386488,-0.13494005721367228,0.5355518013796331,2.7464831391150958e-14,-0.008485329676243698,-0.19085948088312377,0.10083545867548148,0.7829028556755367,-0.8485708635912703,-0.09,0.027283147408050178,-0.7176841964735288,-0.692647216039624,0.06651960697579798,0.07652814862933183,0.8050499272953193,-0.7414297143203893,-0.0964511412679946,-0.3056971626915323,-0.9504803118625018,0.05600375508554513,solved,0,nan,16.987084129327204,78,0.9538923056921006,0.004109637224975272,0.000890362775024728
47,79,-0.18273077354862002,0.0010636521710029785,1.0000144307226684,-7.786669573633854e-15,0.1743656570943308,-0.05144507966038195,0.10003207522809231,0.7810755479400505,-0.8485602270695602,-0.09,0.02790411601838967,-0.7175637272158778,-0.6928077502514675,0.06588686428105454,0.07752846938161274,0.8049475353790528,-0.7423303949007781,-0.09641611376985795,-0.3075637784327827,-0.9498867016932193,0.05585494833911583,solved,0,nan,16.957291792966686,79,0.8737804561326262,0.004117822450659706,0.0008821775493402942
48,80,-0.7696192455266672,-0.018350170918516172,0.03264409469787108,-3.615224842880806e-14,0.0037991459916006105,-0.13630646090854795,0.10031911206553235,0.7733793554847839,-0.8487437287787454,-0.09,0.027962173943706453,-0.7170926411801002,-0.6932961019903958,0.06585420076663878,0.07853166050226806,0.8049693717196538,-0.7432856595471306,-0.09642877337307412,-0.30649355262593936,-0.9502994858045019,0.054704557409165536,solved,0,nan,16.669056256289643,80,0.9415955182707197,0.004177010490055252,0.0008229895099447484
49,81,0.1864209991695385,-0.15406492326891652,0.035062046582664555,1.5077602183904745e-13,0.1253039869783451,-0.0478974110726255,0.10050411289764138,0.7752435654764792,-0.8502843780114345,-0.09,0.02841230267743133,-0.7169677034138012,-0.6934501615740303,0.0653982165739797,0.07953670163124447,0.8049270940372559,-0.7442962765870164,-0.09644906038414996,-0.3046327594406793,-0.9509505243558584,0.05377714418768002,solved,0,nan,16.99062754200308,81,0.7455872768879052,0.004145564970378559,0.0008544350296214413
50,82,0.2930913818926479,-0.13482332750048345,0.01048951806428219,-1.4624413758521344e-15,0.021685459009771837,-0.09645138352106217,0.10046379412790529,0.7781744792954057,-0.8516326112864394,-0.09,0.028519026869734246,-0.716640285653704,-0.6937927588109037,0.06530676769015893,0.08054133957252353,0.8049274352839115,-0.7451303318573301,-0.09640797164926683,-0.3021299703683581,-0.9517567182356902,0.05363421896040842,solved,0,nan,16.76208793052824,82,0.6440810058933288,0.004152482676370211,0.0008475173236297895
51,84,-0.2618896694667594,-0.05290139819323733,0.020054201310555318,-5.446093786941813e-13,0.09287569789002237,-0.04060669248237035,0.10008774007769905,0.7755555826007381,-0.8521616252683718,-0.09,0.02885446508502187,-0.7165296575288675,-0.6939249280338633,0.06496817666687787,0.08154221697330052,0.8048680360732535,-0.7461488851674305,-0.0963818018015416,-0.30019988882477916,-0.9523635145238168,0.05370067140313238,solved,0,nan,16.44253955251996,83,0.7711540687572873,0.0041729688582054355,0.0008270311417945646
52,84,0.1527832975314701,-0.14295406322550758,0.023051148940288906,2.107538819845159e-15,0.022742136095421365,-0.07702386329635276,0.10008437594617098,0.7770834155760528,-0.8535911659006269,-0.09,0.028958389931438625,-0.7162697434483247,-0.6941975404309642,0.06487558194459361,0.08254306073276223,0.804854535275162,-0.7469883778214028,-0.09634600695611471,-0.2967270872725707,-0.953461119046054,0.05352503444425316,solved,0,nan,16.436964532842616,84,0.5030400249856005,0.004197768186647577,0.0008022318133524232
