step,mag_x,mag_y,mag_z,pred_x,pred_y,pred_z,meas_x,meas_y,meas_z,meas_ref_err_xy,meas_ref_idx,meas_ref_x,meas_ref_y,meas_ref_z,raw_model_err_xy,nom_corr_resid_xy,pred0_current_resid_xy,nom_ref_err_xy,pred_ref_err_xy,one_step_pred_err_xy,pred_meas_err_xy,pred_meas_err_x,pred_meas_err_y,pred_meas_err_z,model_bias_x,model_bias_y,model_bias_z,i_ref,N_nodes_active,using_upgraded_nodes,left_wall_tan_x,left_wall_tan_y,right_wall_tan_x,right_wall_tan_y,dist_left_center_mm,dist_right_center_mm,dist_left_edge_mm,dist_right_edge_mm,closest_distance_mm,beam_left_wall_angle_deg,beam_right_wall_angle_deg,err_to_center,jac_prev_step,jac_dx_pred_x,jac_dx_pred_y,jac_dx_pred_z,jac_dx_real_x,jac_dx_real_y,jac_dx_real_z,jac_dx_pred_x_mm,jac_dx_pred_y_mm,jac_dx_pred_z_mm,jac_dx_real_x_mm,jac_dx_real_y_mm,jac_dx_real_z_mm,jac_pred_xy_mm,jac_real_xy_mm,jac_gain_real_over_pred,jac_cos_xy,jac_err_x_mm,jac_err_y_mm,jac_err_z_mm,jac_err_xy_mm,jac_err_xyz_mm,jac_interpretation
20,0.6534480789714635,-0.5832771361624335,-0.10001045988762275,0.805854073598162,-0.6776338537527477,-0.10001241039771179,0.8062621040460213,-0.6786656551833395,-0.10001392197089487,0.001128771559101817,115,0.805871761453899,-0.6776065244579744,-0.1000141699189109,0.0027112861625168037,7.896780073239635e-11,0.001109550827385455,0.0011287714984440206,3.2553810735114715e-05,0.003198993161819622,0.001109550827385455,0.00040803044785930886,-0.0010318014305918943,-1.5115731830800394e-06,-0.0007928203571656578,-0.0025927800786643695,-9.194213084290359e-06,110,8,False,-10.118425369262695,-10.0,-13.634174346923828,-10.0,3.113738150398831,3.67236525999067,3.113738150398831,3.67236525999067,3.113738150398831,34.87998962402344,43.28448486328125,0.0003272025253193216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
21,0.6603486321340415,-0.5741832829479516,-0.09999493264328269,0.8056197028967806,-0.6772808816404373,-0.10001234386206984,0.805824455035737,-0.6783636393943976,-0.10001420042952802,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001101947272862129,0.00020475213895632116,-0.0010827577539602729,-1.8565674581860758e-06,nan,nan,nan,112,8,False,-10.884347915649414,-10.0,-13.276095390319824,-10.0,2.941995545394434,3.8501635354089103,2.941995545394434,3.8501635354089103,2.941995545394434,35.463470458984375,41.05043029785156,0.0003272025253193216,20,-0.00040803044785936427,0.0010318014305919399,1.5115731830774598e-06,-0.00043764901028431336,0.00030201578894195613,-2.784586331516792e-07,-0.40803044785936426,1.0318014305919398,0.0015115731830774599,-0.43764901028431336,0.30201578894195613,-0.0002784586331516792,1.1095508273855177,0.5317426002993095,0.47924131702288586,0.8308430522110721,-0.029618562424949087,-0.7297856416499837,-0.001790031816229139,0.7303864333341625,0.7303886268367699,direction_ok_jac_too_sensitive
22,0.6650658526375881,-0.5674712565349369,-0.10000339397360336,0.8054048486839619,-0.6769026628892182,-0.10001229210406629,0.8055161784366663,-0.6781519711946211,-0.10001439657420608,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012542589667951245,0.00011132975270444767,-0.0012493083054029297,-2.1044701397909815e-06,nan,nan,nan,114,8,False,-11.271502494812012,-10.0,-13.45700454711914,-10.0,2.807267061988682,3.9789512742406714,2.807267061988682,3.9789512742406714,2.807267061988682,35.06086730957031,40.02375793457031,0.0003272025253193216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
23,0.6680229400050887,-0.5630446110255797,-0.10001316814245109,0.8051724149235812,-0.676558186042643,-0.10001216277345847,0.8052806568658453,-0.6780831891566039,-0.10001454647603887,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0015288396958660453,0.00010824194226410899,-0.0015250031139609765,-2.3837025804052114e-06,nan,nan,nan,115,8,False,-11.51111888885498,-10.0,-13.59581470489502,-10.0,2.648133082405934,4.132274467583102,2.648133082405934,4.132274467583102,2.648133082405934,35.34513854980469,39.99156188964844,0.0003272025253193216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
24,0.6715953798205263,-0.5591152839130408,-0.10001499460908936,0.8049463852350028,-0.6762101604149144,-0.10001187467339803,0.8050400714183024,-0.6780578792396734,-0.10001469962428208,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0018500924183158915,9.368618329952394e-05,-0.0018477188247589815,-2.8249508840505477e-06,nan,nan,nan,116,8,False,-11.723264694213867,-10.0,-13.807609558105469,-10.0,2.459189667577334,4.315104506618354,2.459189667577334,4.315104506618354,2.459189667577334,35.672698974609375,40.22352600097656,0.0003272025253193216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
25,0.6762184263628274,-0.554970438461669,-0.09998981088181114,0.8047319215474004,-0.675852906892165,-0.10001141896934536,0.8046855001796592,-0.677901289310199,-0.1000149252697315,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0020489083615168333,-4.6421367741134034e-05,-0.002048382418033956,-3.5063003861468545e-06,nan,nan,nan,117,8,False,-12.041070938110352,-10.0,-14.244884490966797,-10.0,2.239713318122881,4.517980618622687,2.239713318122881,4.517980618622687,2.239713318122881,35.75825500488281,40.39848327636719,0.0003272025253193216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
26,0.6819332144917168,-0.5504211779983139,-0.09998545704124212,0.8045267723903327,-0.6754912056681665,-0.10001080796204433,0.8044969551347788,-0.6777031817483183,-0.10001504519801137,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0022121770380990943,-2.9817255553843403e-05,-0.0022119760801518895,-4.23723596704173e-06,nan,nan,nan,118,8,False,-12.270299911499023,-10.0,-14.522855758666992,-10.0,2.175879530331599,4.562010793022637,2.175879530331599,4.562010793022637,2.175879530331599,35.07975769042969,39.708831787109375,0.0003272025253193216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
27,0.6886369950356801,-0.545537939655693,-0.10000939006577883,0.8043076790308056,-0.6751346828603457,-0.10001008625408786,0.8042472836034542,-0.6777207007505506,-0.10001520415294608,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002586723049749335,-6.039542735136738e-05,-0.0025860178902048503,-5.117898858222891e-06,nan,nan,nan,119,8,False,-12.645268440246582,-10.0,-14.964509963989258,-10.0,1.947794532339401,4.778597024310329,1.947794532339401,4.778597024310329,1.947794532339401,36.175079345703125,40.75962829589844,0.0003272025253193216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
28,0.6960196154428321,-0.5405675054132068,-0.10000024810292468,0.8040754747083436,-0.6747836070976142,-0.10000925776769119,0.8040360122495426,-0.6776325743968243,-0.10001533860653629,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0028492405931446582,-3.946245880104282e-05,-0.0028489672992101367,-6.080838845096137e-06,nan,nan,nan,120,8,False,-13.032864570617676,-10.0,-15.337098121643066,-10.0,1.8021366985474856,4.904549925759056,1.8021366985474856,4.904549925759056,1.8021366985474856,36.44917297363281,40.84295654296875,0.0003272025253193216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
29,0.7040495026361815,-0.5355794838452119,-0.10001141735483526,0.8038375230989099,-0.67443024124114,-0.10000830450881021,0.8038578303428013,-0.6776231601012992,-0.10001545203573874,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0031929834374319114,2.030724389145977e-05,-0.003192918860159155,-7.147526928527603e-06,nan,nan,nan,120,8,False,-13.435759544372559,-10.0,-15.58728313446045,-10.0,1.6483691980288313,5.047475967488481,1.6483691980288313,5.047475967488481,1.6483691980288313,37.47065734863281,41.44816589355469,0.0003272025253193216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
