target_index,length_mm,theta_target_deg,theta_target_rad,image_file,base_px_x,base_px_y,tip_px_x,tip_px_y,depth_scale,target_px_x,target_px_y,target_mm_x,target_mm_y
11,32.63053894042969,5.626841442305334,0.09820690965589464,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,310.409090909091,76.64285714285703,34.33148956298828,106.83457946777344
12,33.72096633911133,27.216476585642397,0.47501712721140427,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,264.9545454545455,85.73376623376613,46.59048843383789,104.58171081542969
13,32.69239044189453,23.400397209671155,0.40841397758325554,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,274.0454545454546,85.73376623376613,44.14762878417969,104.55328369140625
14,31.818647384643555,19.351259707924612,0.3377431963118007,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,283.1363636363637,85.73376623376613,41.70523452758789,104.52484130859375
15,31.112720489501953,15.09101772161631,0.26338794671901766,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,292.2272727272728,85.73376623376613,39.26331329345703,104.49642944335938
16,30.586074829101562,10.653158219937978,0.18593268667381596,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,301.31818181818187,85.73376623376613,36.821861267089844,104.46800231933594
17,30.247982025146484,6.082382710403834,0.10615760466292368,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,310.409090909091,85.73376623376613,34.380882263183594,104.43958282470703
18,31.613739013671875,29.246935534583343,0.5104553211970072,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,264.9545454545455,94.82467532467524,46.662471771240234,102.17704010009766
19,30.509017944335938,25.22837898369235,0.44031827820637237,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,274.0454545454546,94.82467532467524,44.215126037597656,102.14878845214844
20,29.56622314453125,20.925947379265523,0.36522668086726195,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,283.1363636363637,94.82467532467524,41.76824951171875,102.12052917480469
21,28.801158905029297,16.361939141437034,0.28556971002901044,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,292.2272727272728,94.82467532467524,39.321842193603516,102.09228515625
22,28.22816276550293,11.574501239723816,0.20201315590934607,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,301.31818181818187,94.82467532467524,36.875911712646484,102.06405639648438
23,27.858938217163086,6.617825021381094,0.11550283594396422,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,310.409090909091,94.82467532467524,34.43045425415039,102.03582000732422
24,29.544652938842773,31.571480424294577,0.5510262831328767,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,264.9545454545455,103.91558441558433,46.734718322753906,99.7635269165039
25,28.35378646850586,27.34256220404228,0.4772177363918954,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,274.0454545454546,103.91558441558433,44.28287124633789,99.73545837402344
26,27.33171272277832,22.764903857876504,0.39732252621990427,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,283.1363636363637,103.91558441558433,41.83148956298828,99.7073974609375
27,26.497835159301758,17.85903399964593,0.3116989445194333,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,292.2272727272728,103.91558441558433,39.38058853149414,99.67933654785156
28,25.870220184326172,12.667452738946338,0.22108875813538734,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,301.31818181818187,103.91558441558433,36.93016052246094,99.65127563476562
29,25.46399688720703,7.256085786909239,0.1266425877887299,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,310.409090909091,103.91558441558433,34.48020935058594,99.62322235107422
30,27.52460289001465,34.24940067710443,0.5977648086502476,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,264.9545454545455,113.00649350649343,46.80723190307617,97.34113311767578
31,26.23603057861328,29.808506993463425,0.5202565921396926,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,274.0454545454546,113.00649350649343,44.35086441040039,97.31324768066406
32,25.122379302978516,24.935806548120382,0.4352119259050625,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,283.1363636363637,113.00649350649343,41.89496994018555,97.28536987304688
33,24.20764923095703,19.645859922098055,0.34288494002620773,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,292.2272727272728,113.00649350649343,39.439552307128906,97.25749206542969
34,23.514915466308594,13.983810956939408,0.24406354317505166,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,301.31818181818187,113.00649350649343,36.9846076965332,97.2296142578125
35,23.06404685974121,8.02971150833946,0.1401449038058037,focused_image.jpg,322.2882447665056,197.21417069243154,317.0995670995671,83.67965367965368,1.5,310.409090909091,113.00649350649343,34.53014373779297,97.20174407958984
