k,i_ref,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err,vessel_tip alignment, i_seg, u_seg, rho, clearance
46,52,0.08737738046690395,-0.3538694024245668,-0.0872652466214812,1.7252015252857476e-17,-0.2373281846101119,-1.5708056745736507,0.07806943055172404,0.6969462986427277,-0.7629715441501956,-0.09,0.022491251253673746,-0.9821124809441989,-0.1844457435351789,0.030479272997067035,0.052988492300817105,0.8060222595469106,-0.7072963085416152,-0.09762302982035029,-0.9972263002076417,-0.05711676524192972,0.047721916374729736,solved,0,0.00023867849398539437,27.995242750737166,52,0.6085229784762053,0.0003231373972386243,0.002376862602761376
47,53,0.24301091211295323,-0.4872755898269487,-0.08679526512666992,3.4774884818388514e-17,-0.21612972534083863,-1.570805354679363,0.03479612628186675,0.6993764077638572,-0.7678443000484652,-0.09,0.022530607997025498,-0.9806000528116801,-0.1921777088331548,0.03136297748387233,0.053336453563635776,0.8052437096878287,-0.7073867773632199,-0.0976397040302122,-0.997136466690933,-0.05967240957770207,0.04645503557541228,solved,0,0.00021882062151603733,32.65183129566996,53,0.30168676630514524,0.0003901207746795276,0.0023098792253204727
48,54,0.27678876220387155,-0.5803501936706078,-0.08098846251360053,1.457736013516803e-17,-0.2529750798036206,-1.5708065871194825,0.00010052129095634507,0.702144295385896,-0.7736478019851712,-0.09,0.02253314003539731,-0.9790199999991142,-0.19990170979927963,0.03242535460414278,0.05333745877654534,0.8050334494902533,-0.7084231523433315,-0.09818899731528019,-0.9778732184068859,-0.205274354441769,0.04032875067583777,solved,0,0.00041468738745420263,32.65343154008967,53,0.5885729809339902,0.0005487903019238307,0.002151209698076169
49,54,0.22636956354945093,-0.40477693070511944,-0.08310183357561018,-9.979555449154135e-18,-0.2313298331492613,-1.5707951788600474,0.10148785428247929,0.7044079910213905,-0.7776955712922224,-0.09,0.02255588154984547,-0.9773816387984693,-0.20761059203052776,0.03337973073380995,0.054352337319370135,0.8050470994808612,-0.7084254633645017,-0.09781241942358927,-0.9779382591117389,-0.2026973139102054,0.050503072174759724,solved,0,0.000504031237014851,28.54079721628434,54,0.08339322067957829,0.00042714780814674604,0.0022728521918532543
50,54,0.125631294955319,-0.32071641863554723,-0.08073638382545612,1.826895214118047e-19,-0.2709371514242013,-1.570807396627329,0.019263327272243166,0.7056643039709437,-0.7809027354785779,-0.09,0.02253608389639852,-0.9756748142265109,-0.215310864319147,0.034525548696869544,0.05454497059209257,0.8040517806090672,-0.7086047356183085,-0.09775108040721185,-0.9773675494000603,-0.20531385017951936,0.05097937135923248,solved,0,0.0004106558897656366,28.31791842925364,54,0.9814861213350797,0.00010182037921088722,0.0025981796207891128
51,55,0.3012383535153009,-0.4226984014328804,-0.0820629220420955,1.567388707874096e-17,-0.24837767374652997,-1.5708071294473585,0.09489701754318694,0.7086766875060967,-0.7851297194929067,-0.09,0.022539144234951024,-0.9739100515173579,-0.2229949485239335,0.03555912630284648,0.05549394076752444,0.8038635268114452,-0.7086399899333734,-0.09772901066029466,-0.977849424114582,-0.20296770513022258,0.05113330062641744,solved,0,0.00037780049693626207,33.12277379329244,55,0.13164085986326687,0.0002011264509696788,0.002498873549030321
52,55,0.1786872067457363,-0.3413619489261448,-0.07960394508436423,-2.6786227841043035e-17,-0.28519757885937735,-1.5708082535269479,0.025442325115013792,0.710463559573554,-0.7885433389821681,-0.09,0.02249972130770986,-0.9720769239237065,-0.23066903271719907,0.03676974111156742,0.05574836401867458,0.8029354562528528,-0.7088356992334783,-0.09766972024612039,-0.9774529075053698,-0.20477951236582664,0.051489464208836,solved,0,0.00034807723646203595,33.00902155023638,55,0.9326730164484786,0.0007029142152764484,0.0019970857847235518
53,56,0.3433218405766059,-0.41162310126219637,-0.08083501246016689,-2.8292930685862174e-17,-0.2624526751478077,-1.5708079381912035,0.09081582875137569,0.71389677797932,-0.79265956999479,-0.09,0.022485100610138736,-0.9701861897047797,-0.23832589493557807,0.03786747099859104,0.05665652230618833,0.8026849081648824,-0.7088713023485826,-0.09764701105878812,-0.978147611907421,-0.20143136203382364,0.051503938771785086,solved,0,0.00032660259856788693,37.64770635536795,56,0.06725577847964172,0.0008658532229898181,0.001834146777010182
54,56,1.000030301987596,1.0000083415330288,1.0000078539048018,3.2860852510527135e-11,1.0472084596867497,-1.5707958975399834,0.10090554477780375,0.723897080999196,-0.7826594865794597,-0.09,0.024029370753120276,-0.9684694615232795,-0.24581725554917028,0.032609328608421244,0.05766557775396637,0.8018031113610465,-0.7091166320467414,-0.0975763644508244,-0.9776689372738075,-0.20358956499219977,0.05210314881262507,solved,0,4.666615367477523e-05,37.61971401954411,56,0.7921954293233197,0.0014141282851691357,0.0012858717148308645
55,58,-0.38443236618446586,-1.0000044686677239,0.14583215595961593,-8.821472881527955e-15,-0.5405558111541272,-1.5708108830286962,0.06592198532508826,0.7200527573373514,-0.792659531266137,-0.09,0.023620272256524577,-0.9664172790887527,-0.2534800457071596,0.03503700680018093,0.05832479760721725,0.8015722922748757,-0.7111521349670287,-0.09747762779156015,-0.9007021443912178,-0.430389831316302,0.059162827760235584,solved,0,0.0002685839949165802,31.63917200620575,58,0.5800385722508936,0.0003394086420774402,0.00236059135792256
