node_index,s_m,insertion_m,position_error_m,position_error_mm,tangent_error_rad,tangent_error_deg,feasible,position_constraint_margin_m,tangent_constraint_margin_rad,minimum_joint_margin_rad,minimum_state_margin,jacobian_condition,jacobian_effective_rank,contact_active,contact_diagnostic_available,minimum_gap_m,contact_energy,contact_force_norm,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,magnet_pose_x,magnet_pose_y,magnet_pose_z,magnet_pose_rx,magnet_pose_ry,magnet_pose_rz,desired_x,desired_y,desired_z,achieved_x,achieved_y,achieved_z,desired_tangent_x,desired_tangent_y,desired_tangent_z,achieved_tangent_x,achieved_tangent_y,achieved_tangent_z,seed_q1,seed_q2,seed_q3,seed_q4,seed_q5,seed_q6,seed_L,change_from_seed_q1,change_from_seed_q2,change_from_seed_q3,change_from_seed_q4,change_from_seed_q5,change_from_seed_q6,change_from_seed_L
68,0.01700000000000001,0.03498720326269904,2.52377197999512e-07,0.000252377197999512,1.7595270694980982,100.81347502126292,1,0.0009997476228020006,1.3803202548397007,4.256683008375838,0.015012796737300965,nan,0,1,1,0.03410376930563714,5.98917625667601e-13,2.7699310481755366e-09,-0.7491536522067573,-1.8995156864454088,-1.835030447698819,-1.1212497386002613,1.6446283183996304,-2.026502298803749,0.27851035401877167,-0.5469961420208047,-0.016250290021676106,-2.965431756678895,0.4446883546016034,0.11669642411551974,0.49494749677042554,-0.6551318467824757,-0.016558422038837062,0.4949477377403719,-0.6551317717747155,-0.016558423292209204,-0.4821931973736648,-0.8760649065032579,0.0,-0.7700433100665666,0.6379915104363637,0.00036501075714683544,-0.7491536522067573,-1.8995156864454088,-1.835030447698819,-1.1212497386002613,1.6446283183996304,-2.026502298803749,0.03498720326269904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.017250000000000012,0.03496793293398481,3.4321157267812636e-06,0.0034321157267812635,1.811074846271339,103.76694507365211,1,0.0009965678842732187,1.3287724780664598,4.256529921137417,0.01503206706601519,nan,0,1,1,0.034324853667835734,5.954091535345932e-13,2.7342311950490183e-09,-0.7512071364563826,-1.899138212370415,-1.8354984322072956,-1.1218006581548063,1.6433853642041854,-2.0266553860421697,0.2765915875972476,-0.5476509986004846,-0.016113808708377364,-2.9655269900037835,0.447486173878206,0.11833761725389702,0.4948346687247936,-0.6553548618689382,-0.016558422038837062,0.4948318846600128,-0.6553528561319918,-0.016558495666007745,-0.4270139578599524,-0.9042450330484425,0.0,-0.7766497206072325,0.6299326001218764,0.00036164125873165004,-0.7512071364563826,-1.899138212370415,-1.8354984322072956,-1.1218006581548063,1.6433853642041854,-2.0266553860421697,0.03496793293398481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.017500000000000012,0.034936806125027864,5.566756770174334e-06,0.005566756770174334,1.843984455853179,105.65252680811483,1,0.0009944332432298257,1.2958628684846198,4.256390304353538,0.015063193874972139,nan,0,1,1,0.034552296446037536,5.916432452684644e-13,2.6983105939355706e-09,-0.7532494511914898,-1.8986636408997517,-1.8361254651440586,-1.12252679476579,1.6421952056836366,-2.0267950028260486,0.2745600981243868,-0.5481508290700359,-0.01596540630026444,-2.965428826636724,0.45027657563940265,0.12022580681097078,0.49473339690990936,-0.6555833945153935,-0.016558422038837062,0.49472877122063,-0.6555802989359814,-0.016558517787113623,-0.38755925777097866,-0.9218447926391993,0.0,-0.7830941580386802,0.6219030547936539,0.0003606716124831285,-0.7532494511914898,-1.8986636408997517,-1.8361254651440586,-1.12252679476579,1.6421952056836366,-2.0267950028260486,0.034936806125027864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.017750000000000012,0.03489815374017788,6.903386339558307e-06,0.006903386339558307,1.8660284784831978,106.91555626830578,1,0.0009930966136604416,1.2738188458546011,4.256254402978479,0.015101846259822124,nan,0,1,1,0.03478367493709742,5.877431840785321e-13,2.6626441364019786e-09,-0.7552977045877143,-1.898147936991016,-1.8368192761358864,-1.1233253253810205,1.6410197844568026,-2.0269309042011074,0.27247343772691296,-0.5485880465739456,-0.015811088762335612,-2.9652497747639677,0.453075172579989,0.12222157611378665,0.49464038997619325,-0.6558154264509507,-0.016558422038837062,0.49463459472256593,-0.6558116774475113,-0.01655855146665464,-0.35759394328382255,-0.9338771716487807,0.0,-0.7894263220912198,0.6138452190198416,0.0003592715026144176,-0.7552977045877143,-1.898147936991016,-1.8368192761358864,-1.1233253253810205,1.6410197844568026,-2.0269309042011074,0.03489815374017788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.018000000000000013,0.0348542991388677,7.85670120934953e-06,0.007856701209349531,1.8807211961949748,107.75738698276771,1,0.0009921432987906504,1.259126128142824,4.2561192453328385,0.015145700861132302,nan,0,1,1,0.03501781803151481,5.83770136611478e-13,2.627437942727238e-09,-0.7573601873400777,-1.8976002905305236,-1.837563269868888,-1.1241788402644388,1.6398481819323094,-2.0270660618467473,0.2703376810880376,-0.5489818400425538,-0.01565114990766081,-2.965011763239567,0.45589044691011077,0.12430283591662651,0.4945539620414532,-0.6560499993492007,-0.016558422038837062,0.4945473097649894,-0.6560458205933636,-0.016558535930873083,-0.33421483290331666,-0.9424969206673346,0.0,-0.7956617835664617,0.6057410307803441,0.00036027906341499463,-0.7573601873400777,-1.8976002905305236,-1.837563269868888,-1.1241788402644388,1.6398481819323094,-2.0270660618467473,0.0348542991388677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.018250000000000013,0.03480671916956308,8.520583604445375e-06,0.008520583604445376,1.8902694092461543,108.30445929249203,1,0.0009914794163955547,1.2495779150916446,4.255983197366645,0.015193280830436924,nan,0,1,1,0.0352540140136023,5.797632349457863e-13,2.592814437223435e-09,-0.7594437630086502,-1.8970351104244436,-1.8383329588275483,-1.125054820540984,1.6386680119297106,-2.027202109812941,0.26816786605891163,-0.5493595837887524,-0.015487309443775799,-2.9647490592734105,0.45873170153140463,0.12642772286927947,0.4944728296206652,-0.6562864621351234,-0.016558422038837062,0.49446556122076185,-0.6562820166337743,-0.01655851273371138,-0.3155091484724738,-0.9489225348942739,0.0,-0.8018171671531903,0.5975693262184147,0.00036169227654497024,-0.7594437630086502,-1.8970351104244436,-1.8383329588275483,-1.125054820540984,1.6386680119297106,-2.027202109812941,0.03480671916956308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.018500000000000013,0.03475652817854319,8.991629753763921e-06,0.008991629753763922,1.8960911723136336,108.63802174558373,1,0.000991008370246236,1.2437561520241653,4.255842838611761,0.015243471821456814,nan,0,1,1,0.03549172528165516,5.757523153277409e-13,2.55886204239069e-09,-0.7615523321273784,-1.8964810990576655,-1.839084109521492,-1.125921363027397,1.6374623466765739,-2.027342468567825,0.2659877664801931,-0.5497582267366681,-0.015321875377353578,-2.9645038007877313,0.46160175955974897,0.12855299319487495,0.4943960068011418,-0.6565243623043914,-0.016558422038837062,0.4943883023422094,-0.6565197279324422,-0.016558537428713303,-0.30020376055311027,-0.9538750977721195,0.0,-0.8079089459132502,0.5893072243988245,0.00036108820888657044,-0.7615523321273784,-1.8964810990576655,-1.839084109521492,-1.125921363027397,1.6374623466765739,-2.027342468567825,0.03475652817854319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.018750000000000013,0.03470458705397146,9.30629807465439e-06,0.00930629807465439,1.8991355901199973,108.81245403696285,1,0.0009906937019253457,1.2407117342178016,4.255695714872289,0.015295412946028542,nan,0,1,1,0.03573065358241467,5.717564709437601e-13,2.5256135461790545e-09,-0.7636916403249179,-1.8959379975770172,-1.8398146834843074,-1.1267632794846132,1.6362280261775572,-2.027489592307297,0.26379915585714225,-0.5501865339390237,-0.015155333645007873,-2.964288136853516,0.4645063366325121,0.13065964889816134,0.49432272908874714,-0.6567633785544364,-0.016558422038837062,0.4943147108326359,-0.656758656276815,-0.01655854388650584,-0.28743700128292393,-0.9577995459873012,0.0,-0.813942823151298,0.5809448769024349,0.000361443370226237,-0.7636916403249179,-1.8959379975770172,-1.8398146834843074,-1.1267632794846132,1.6362280261775572,-2.027489592307297,0.03470458705397146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.019000000000000013,0.03465156972380143,9.491768278236964e-06,0.009491768278236964,1.900054530613029,108.86510544883724,1,0.000990508231721763,1.23979279372477,4.255543306465727,0.015348430276198574,nan,0,1,1,0.03597052246032158,5.677902371181259e-13,2.493091169559646e-09,-0.7658649791168284,-1.8954063129419552,-1.8405237913105719,-1.127581792651106,1.6349631107414098,-2.02764200071386,0.2615995122247424,-0.5506456761636358,-0.014987395206464305,-2.9641017659473823,0.467452599098159,0.13275055300052602,0.4942523982111805,-0.6570032781359352,-0.016558422038837062,0.4942441831625247,-0.6569985252006811,-0.01655854950295689,-0.2766141478732028,-0.9609810680738627,0.0,-0.8199187179829112,0.5724798380362586,0.0003618608000895362,-0.7658649791168284,-1.8954063129419552,-1.8405237913105719,-1.127581792651106,1.6349631107414098,-2.02764200071386,0.03465156972380143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.019250000000000014,0.03459800091480595,9.575253989339849e-06,0.009575253989339848,1.8992964519883853,108.82167074310607,1,0.00099042474601066,1.2405508723494136,4.255382613885537,0.015401999085194053,nan,0,1,1,0.0362111613072938,5.638643975629568e-13,2.4613027950803026e-09,-0.7680737109003334,-1.8948919414927432,-1.8412020605760515,-1.1283685954688156,1.6336605592905524,-2.027802693294049,0.25939260914696216,-0.5511455816620804,-0.014818487662237034,-2.9639576493942665,0.47043889076138,0.1348176509669361,0.4941845419528088,-0.6572438892898255,-0.016558422038837062,0.49417621476052837,-0.6572391641000194,-0.016558548288515183,-0.2673161093154361,-0.9636088924976034,0.0,-0.8258395419597885,0.5639050623843508,0.0003627022859046159,-0.7680737109003334,-1.8948919414927432,-1.8412020605760515,-1.1283685954688156,1.6336605592905524,-2.027802693294049,0.03459800091480595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.019500000000000014,0.03454433256414049,9.603289239733687e-06,0.009603289239733687,1.8971858901782803,108.70074445898557,1,0.0009903967107602663,1.2426614341595186,4.25521703005996,0.015455667435859514,nan,0,1,1,0.036452411215184485,5.599875152146107e-13,2.4302496650537858e-09,-0.7703225951772877,-1.894395428758858,-1.8418486716952647,-1.1291216938165263,1.6323212350272858,-2.027968277119627,0.2571770390736545,-0.5516875073925087,-0.014648756512975925,-2.9638544193845253,0.4734775879102271,0.13685770022083862,0.4941187847182175,-0.6574850830778026,-0.016558422038837062,0.49411039374238114,-0.657480414064148,-0.016558544514257072,-0.25924125976320245,-0.9658125952980671,0.0,-0.8317042195963466,0.5552188386831731,0.0003636989700605596,-0.7703225951772877,-1.894395428758858,-1.8418486716952647,-1.1291216938165263,1.6323212350272858,-2.027968277119627,0.03454433256414049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.019750000000000014,0.03449085144032585,9.55663327444471e-06,0.00955663327444471,1.8939544864366842,108.51559866268933,1,0.0009904433667255552,1.2458928379011147,4.255041052692932,0.015509148559674155,nan,0,1,1,0.03669416988636083,5.561653080223454e-13,2.399929075706558e-09,-0.7726101306514932,-1.8939324246825744,-1.8424457866637405,-1.1298208172790678,1.6309351231088165,-2.028144254486654,0.2549641930543144,-0.5522891212874745,-0.014482126605878276,-2.9638153814622483,0.47655982396531565,0.13885266655225312,0.494054825770893,-0.6577267611796218,-0.016558422038837062,0.4940464432906085,-0.657722172806431,-0.016558522514125814,-0.2521679036120473,-0.9676834959778456,0.0,-0.8375143018464567,0.5464152812592,0.0003668910898044992,-0.7726101306514932,-1.8939324246825744,-1.8424457866637405,-1.1298208172790678,1.6309351231088165,-2.028144254486654,0.03449085144032585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.020000000000000014,0.03443787185931313,9.46790007258084e-06,0.00946790007258084,1.889782907756016,108.27658481038029,1,0.0009905320999274191,1.250064416581783,4.2548583587606315,0.015562128140686873,nan,0,1,1,0.03693636702348285,5.524018333700961e-13,2.370324767627814e-09,-0.7749404055099532,-1.8934861895326054,-1.8430070996244952,-1.130484987431869,1.6295063517942254,-2.028326948418955,0.25274143394675286,-0.5529381897089363,-0.014312342813982581,-2.963825293445129,0.4796965317556093,0.14081861533928658,0.4939924229964039,-0.6579688475543289,-0.016558422038837062,0.49398408149445927,-0.6579643699959743,-0.01655853134699342,-0.24592968092140877,-0.9692876724904191,0.0,-0.8432660081653016,0.5374963296338185,0.00036756377831952564,-0.7749404055099532,-1.8934861895326054,-1.8430070996244952,-1.130484987431869,1.6295063517942254,-2.028326948418955,0.03443787185931313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.020250000000000015,0.03438523281671815,9.402108656649088e-06,0.009402108656649089,1.884585955259951,107.97882136602578,1,0.0009905978913433509,1.2552613690778478,4.2546681111734825,0.01561476718328185,nan,0,1,1,0.0371789997450081,5.486932087137834e-13,2.3414155755327355e-09,-0.7773135409778525,-1.893061152770441,-1.8435311440555768,-1.131109865067618,1.6280359960208315,-2.0285171960061037,0.25051024757628404,-0.5536359029716112,-0.014141827793594575,-2.963884142946713,0.48288698655410706,0.1427533299405507,0.4939318155804741,-0.6582113898004105,-0.016558422038837062,0.49392350035520055,-0.6582070027825432,-0.016558525721397228,-0.24061944082377382,-0.9706195365320308,0.0,-0.8489538680850268,0.52846683320646,0.0003688688201033553,-0.7773135409778525,-1.893061152770441,-1.8435311440555768,-1.131109865067618,1.6280359960208315,-2.0285171960061037,0.03438523281671815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.020500000000000015,0.03433346825981619,9.238343854987488e-06,0.009238343854987488,1.8787158739622396,107.64249048226824,1,0.0009907616561450126,1.2611314503755593,4.254469237013074,0.015666531740183814,nan,0,1,1,0.03742196967973702,5.450479158836383e-13,2.3131928109351044e-09,-0.7797323042671371,-1.892657090889814,-1.8440183754918054,-1.131696447976632,1.6265209082672343,-2.0287160701665123,0.24826710295530285,-0.5543834642846783,-0.013970347073617106,-2.963992861307283,0.4861339334259194,0.14466127635525267,0.49387237778735293,-0.6584542202128314,-0.016558422038837062,0.49386417423185425,-0.6584499727911078,-0.016558511944705596,-0.23589506800318735,-0.9717785328415995,0.0,-0.8545776981000845,0.5193234258234235,0.00037054147406479794,-0.7797323042671371,-1.892657090889814,-1.8440183754918054,-1.131696447976632,1.6265209082672343,-2.0287160701665123,0.03433346825981619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.020750000000000015,0.03428282164905714,9.033536868501752e-06,0.009033536868501751,1.8722679583159407,107.27305212907895,1,0.0009909664631314982,1.2675793660218582,4.254259359328489,0.015717178350942863,nan,0,1,1,0.03766517942002763,5.414699640576267e-13,2.285649316264192e-09,-0.7821960944766614,-1.892276208414113,-1.8444644553309,-1.1322288800907958,1.6249556721174285,-2.0289259478510973,0.24601727362481882,-0.5551898678679537,-0.013798879249632023,-2.964167536305679,0.489434439933321,0.14652617536694595,0.4938139325318503,-0.6586972915154822,-0.016558422038837062,0.493805887967337,-0.6586931826045538,-0.016558503409153064,-0.23166456720895923,-0.9727957279408075,0.0,-0.8601359283950607,0.5100647471832753,0.00037197423108892996,-0.7821960944766614,-1.892276208414113,-1.8444644553309,-1.1322288800907958,1.6249556721174285,-2.0289259478510973,0.03428282164905714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.021000000000000015,0.034233439334888226,8.801537801481238e-06,0.008801537801481239,1.8653031897604877,106.87400028556605,1,0.0009911984621985188,1.2745441345773112,4.254043246339755,0.015766560665111777,nan,0,1,1,0.037908628128654503,5.379600093078447e-13,2.258763178449785e-09,-0.784709387386728,-1.8919228419879845,-1.844864937104677,-1.1327221710309114,1.623343688803854,-2.0291420608398307,0.24375615585717286,-0.5560511742302274,-0.013626681209404523,-2.964393636190241,0.4928016608663094,0.14836349292537743,0.4937563709241653,-0.6589405744885598,-0.016558422038837062,0.49374850247346946,-0.6589366313837665,-0.016558502511856057,-0.22787179150891435,-0.9736911454021332,0.0,-0.8656253076936602,0.500692208367975,0.0003730413603868084,-0.784709387386728,-1.8919228419879845,-1.844864937104677,-1.1327221710309114,1.623343688803854,-2.0291420608398307,0.034233439334888226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.021250000000000015,0.03418511927926146,8.610080094634281e-06,0.00861008009463428,1.8576833997229076,106.43741847563689,1,0.0009913899199053657,1.2821639246148913,4.25381448603893,0.01581488072073854,nan,0,1,1,0.038152309565425056,5.345135699914726e-13,2.2325153795529525e-09,-0.7872687923100284,-1.8915953377420305,-1.84522118446695,-1.1331657451862305,1.6216823831493168,-2.0293708211406556,0.24148685710371837,-0.5569710988681953,-0.01345431400337238,-2.964682147035555,0.4962221655080292,0.15016288865170396,0.49369996893014373,-0.6591841290308504,-0.016558422038837062,0.49369225114754406,-0.6591803128939794,-0.01655850210357079,-0.2246577543043998,-0.9744377319412996,0.0,-0.8710408530566479,0.49121043592991603,0.00037408540345918085,-0.7872687923100284,-1.8915953377420305,-1.84522118446695,-1.1331657451862305,1.6216823831493168,-2.0293708211406556,0.03418511927926146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
