k,i_ref,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err,vessel_tip alignment, i_seg, u_seg, rho, clearance
10,45,0.298832524180042,-0.6046842255104051,-0.1033704413132777,-0.08700426649771822,-1.0476198618712695,-6.285303195844388,0.09999974501165551,0.7313898710715342,-0.7646722874260291,-0.09,0.021090032925037874,-0.9411726445092399,-0.3319729519768309,0.05952497706419978,0.04300065060036962,0.8157434309497429,-0.7113191007347255,-0.09809156656516406,-0.9563934440350166,-0.2873433829509788,0.05239617256780309,solved,0,7.201949319956364e-06,27.768332876299837,44,0.31333790236984077,0.0031052214147489167,0.0018947785852510834
11,46,0.42864716961389654,-0.7703677541370563,-0.06106752692916413,-0.07437384255956771,-1.047757802946809,-6.286035547669024,0.09999960956807384,0.7356763427676731,-0.7723759649673997,-0.09,0.020861114166380812,-0.9299586853649114,-0.3615132337793367,0.06363834718555772,0.04400064669605036,0.814989434046253,-0.7120485518981015,-0.0979754947985343,-0.9294469043461057,-0.3647427729848757,0.05559820151149395,solved,0,0.0004991225830960977,30.000590354994173,45,0.4792227250334794,0.0027974638846637915,0.0022025361153362086
12,47,0.4978096093579783,-0.7450023263138431,-0.04222373180643364,-0.08062642324890913,-1.0476302051677668,-6.285418053259413,0.09999978823791181,0.7406544388612529,-0.7798259882305382,-0.09,0.020581981704230957,-0.9178023799159947,-0.39068558981706064,0.06767527878744488,0.04500064457842948,0.8140205551373574,-0.7123319224543274,-0.09768075206686079,-0.9294692359785263,-0.363027102040458,0.06556112447565372,solved,0,0.00017398779983513683,32.538263341550554,46,0.6727964811155841,0.0024550052708264547,0.0025449947291735454
13,49,0.5693857746595675,-0.7192815239936574,-0.005985119448827492,-0.05344182136626878,-1.048577452594403,-6.285976707810888,0.0999998441154272,0.7463482966078486,-0.7870188034704747,-0.09,0.020405021805152544,-0.9047100728200896,-0.4194547676812318,0.0717008862740427,0.04600064301958375,0.8132435122391706,-0.7130425924759526,-0.09787693267338406,-0.9116154905569449,-0.40711278355892255,0.05671311454404804,solved,0,0.00026306525248275046,33.52483920605006,47,0.8617706197117319,0.002192631554751019,0.002807368445248981
14,50,0.5499399589116682,-0.5912703294934675,-0.04458102448547518,0.02545670271577948,-1.0475256264414474,-6.2847161482794025,0.10000022271429018,0.7518476961969653,-0.7929315067654094,-0.09,0.020565944450692934,-0.8906944036630293,-0.44776408792746836,0.07581452878369828,0.047000645246726654,0.8126800803130675,-0.7139104913901416,-0.09787268712243585,-0.8767940741243615,-0.47764287431262015,0.05558268392218422,solved,0,3.576214515044021e-06,37.65735847548695,49,0.184576299178606,0.0019356838800488852,0.003064316119951115
15,51,0.5458151095326084,-0.500926401750708,-0.02043563380833726,0.05764715285681019,-1.048281013595631,-6.284946616034085,0.09999986501513597,0.7573058472922914,-0.7979407707829165,-0.09,0.02084772631479197,-0.8757706627957415,-0.4756078776798703,0.07992662374116051,0.04800064389687801,0.8117136058742553,-0.7143846327743341,-0.09778821216184298,-0.8707651972552197,-0.4881887535889024,0.0586490468954505,solved,0,1.080278733049977e-05,40.469718865684314,50,0.20423473987455032,0.001517748455509883,0.003482251544490117
16,54,0.6547752903946111,-0.6316285419335983,0.05352852980888655,-0.029186985763732305,-1.0474725922692254,-6.283710706911796,0.09999697515436225,0.7638536001962376,-0.8042570562022524,-0.09,0.020729611880966763,-0.8599705551026304,-0.5029982534197683,0.08374774387648092,0.049000613648421634,0.812241427143243,-0.7170922797284525,-0.09778662891472695,-0.7562513834291263,-0.6515065717345123,0.06019161619808636,solved,0,2.255207189536153e-05,38.67120296847351,51,0.418088386303477,0.0013439294251217343,0.0036560705748782656
17,54,0.5752094700795097,-0.3430392865761307,0.030783767323281738,0.053358986928248725,-1.0472637766531876,-6.283987971016996,0.09999999853743773,0.7696056948970327,-0.8076874490680137,-0.09,0.020945982808224108,-0.8432887971124207,-0.5298449206951447,0.0876905381580023,0.050000613633796015,0.8107217254783895,-0.7163597131386312,-0.09790577808657794,-0.7752423488418867,-0.6298779328551743,0.047466713644654074,solved,0,0.00019681045016720376,36.8818538504703,52,0.5330120593579954,0.001269002215878175,0.0037309977841218254
18,54,0.36787264458795166,-0.24190434447830284,0.002643677136881603,-0.080670090964431,-1.0472796942986398,-6.283837902290572,0.10000002227376048,0.7732844213429122,-0.8101064925127968,-0.09,0.02057596263303398,-0.8257658300184909,-0.5562121106050651,0.09118942785134476,0.05100061385653362,0.8101971223050697,-0.7171440213955493,-0.09743306457810909,-0.7501522590926193,-0.6583672390582166,0.06183983651161755,solved,0,0.00011840377553050648,41.42484341923078,53,0.3767327019542457,0.0006015248479056794,0.00439847515209432
19,56,0.39045731434465136,-0.3312341352405545,0.014725014807148294,0.01557732705987038,-1.0471158101828806,-6.283259163791092,0.10000281904616715,0.7771889944863587,-0.8134188338652023,-0.09,0.02058258218179134,-0.807396915455416,-0.5819687488205709,0.09486281473806804,0.052000642046995296,0.8105325965264588,-0.7194528265555004,-0.09753430944106799,-0.6858118759044688,-0.7251894107039124,0.061338309103118036,solved,0,6.217691887939114e-07,37.78721892848627,55,0.967805089050698,0.0015710809752220065,0.003428919024777994
