k,i_ref,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_x,p_y,p_z,p_qw,p_qx,p_qy,p_qz,p_L,y_x,y_y,y_z,y_tx,y_ty,y_tz,status,infeasible,pred1_err,vessel_tip alignment, i_seg, u_seg, rho, clearance
14,47,0.3206638069196875,-0.17667019975308293,-0.16371494019649882,0.0008636521769545783,-1.04728652406296,-6.283774184873853,0.09999999560462114,0.7450201751489542,-0.7680243364009899,-0.09,0.020471364738188842,-0.8924176746003563,-0.4471160673365513,0.057086247171672176,0.04699584361541902,0.8118915544096561,-0.7108710840715816,-0.09765137150675351,-0.9362511263785265,-0.3437948085383148,0.07238063643066064,solved,0,7.861734483150127e-06,34.322968454720076,47,0.08290721090492399,0.0004319612032678731,0.002568038796732127
15,48,0.4382355240944922,-0.20982482978371397,-0.054896193779340546,0.0006013656552411695,-1.0472823061635315,-6.283743787818616,0.09999999764933847,0.7494025303898991,-0.770122584698827,-0.09,0.019916049470131824,-0.8776206321847478,-0.47503016034276946,0.061087835956675184,0.047995843591912404,0.811024418554891,-0.7115780129433448,-0.09818957592664208,-0.9178484139267745,-0.3927900462347703,0.057186250219804544,solved,0,0.0005109756720143407,35.848321606623806,47,0.8306882509741345,0.0006628329118406652,0.002337167088159335
16,50,0.814429044652002,-0.6477381654026394,-0.18696683120788238,0.0006926604223467902,-1.047288614142726,-6.283783160469488,0.0999999956157871,0.7575468208364191,-0.7765999663528534,-0.09,0.019340927426453002,-0.8619331597856762,-0.5024624918498996,0.06502769311727517,0.048995843548070274,0.8104731399225829,-0.7126076275167901,-0.09760344313478377,-0.8768169162833755,-0.4749156576801149,0.07514793424774384,solved,0,0.0006529398113927269,35.064999243796464,49,0.228954527284046,0.0004320889269771995,0.0025679110730228005
17,51,0.654872630554411,-0.33295140495154596,-0.34328090902210745,0.0006744575774001683,-1.047271058839136,-6.283666430783951,0.09999999507575498,0.7640955471419633,-0.7799294804023689,-0.09,0.018746112418726313,-0.8453715877621514,-0.5293845946331549,0.06890147196376939,0.049995843498827824,0.8101733135933937,-0.7140267572064345,-0.09787319225880194,-0.8087671088358913,-0.5842748131878097,0.0672213134316101,solved,0,7.63558453905373e-05,37.020495873765135,50,0.10948460868791236,0.0007821400678897066,0.0022178599321102934
18,52,0.5909076886408111,-0.32173972608536533,-0.03826422219336316,0.0006528152714341237,-1.047836731859933,-6.287358120317848,0.10000342320905437,0.7700046240283713,-0.7831468776632226,-0.09,0.018131952571571446,-0.8279419702907043,-0.5557850076263069,0.07270729966733118,0.05099587773091837,0.8097821892261441,-0.7150422477567849,-0.09706053750679343,-0.750406175298535,-0.654108914431151,0.09503735477213439,solved,0,4.8820244366223136e-05,33.50222498835751,51,0.4456638402098993,0.0008380367854255409,0.002161963214574459
19,53,0.8462610288827083,-0.19260163259681934,-0.11414801596234742,0.00041579626085195566,-1.047433684282162,-6.284723896317341,0.10000003601353298,0.7784672343171984,-0.7850728939891908,-0.09,0.017498566239826117,-0.8096793020247434,-0.5816103321171117,0.07643722670857432,0.0519958780910537,0.8097585553489076,-0.7163693065563058,-0.097444317748777,-0.6770407808483103,-0.73180151223165,0.07798927141590871,solved,0,0.00014601560435438939,34.43355510263901,52,0.4036448110894167,0.0008899172306919966,0.0021100827693080037
20,55,0.8923087163616477,0.0034506347617575235,-0.11377034913008874,8.618732835131752e-05,-1.047407809728195,-6.284555090186291,0.1000001088969057,0.7873903214808149,-0.7850383876415732,-0.09,0.016846099644023463,-0.7905955339482249,-0.6068449030604427,0.08008854011321886,0.052995879180022756,0.8097260944701155,-0.7177597467967266,-0.09716068530047392,-0.5471781369614628,-0.8307485712331207,0.10223940797164492,solved,0,1.4773357712476079e-05,27.146834463787584,53,0.9171463436603637,0.0006072418189318507,0.0023927581810681492
21,56,0.5751256041784537,0.03992834396360622,-0.09621162695762202,0.0054664102135757705,-0.7035822612075128,-6.250170763109422,0.10001212400860052,0.7931415775225994,-0.7846391042019372,-0.09,0.017227323092196697,-0.7709611658457988,-0.6313046232026555,0.08231994181070074,0.05399600042010876,0.8100557702617536,-0.7190646740669677,-0.09689908211447378,-0.4131750839741297,-0.9039416532313391,0.110344171921366,solved,0,0.00015182661473345344,23.00169284080814,55,0.31984131973939145,0.0007763560839581074,0.0022236439160418925
22,57,0.22370061035417887,0.2096886737256391,-0.15431941637116098,-0.0009487179526336342,-0.3648765747332851,-4.5866615454389486,0.09969188861914233,0.7953785836261412,-0.7825422174646808,-0.09,0.01795516986510983,-0.7561304392120443,-0.6488485138440943,0.08330652348061578,0.05499291930630019,0.8095908707528934,-0.7199659850774334,-0.09690602371412702,-0.4294404391556151,-0.8965719863245533,0.10834934849529389,solved,0,0.0002192004884678401,25.12010565215591,56,0.29714021184407613,0.0005151047340371278,0.0024848952659628724
23,58,0.9999997679609386,-0.17768467423339868,-0.2101167025540624,0.00042311046997825096,0.05515421660599293,-3.2502308023246966,0.10000150887552765,0.8053785813057506,-0.7843190642070148,-0.09,0.019487091132475945,-0.7455094272997875,-0.6610451342738469,0.08279660342797443,0.05599293439505546,0.8107845312349303,-0.7213838225033514,-0.09688537179333614,-0.1968449435276705,-0.9748007899645902,0.10495468964062625,solved,0,0.00046979360065713805,20.20349709184428,57,0.43234052034431697,0.0010867579879946386,0.0019132420120053614
